"Channel group";"Channel";"Days";"Marketing spend";"Compare range: Marketing spend"
"Search Paid";"Google";"2022-01-01";"5143.61";"0"
"Search Paid";"Google";"2022-01-02";"6548.029";"0"
"Search Paid";"Google";"2022-01-03";"6097.886999999999";"0"
"Search Paid";"Google";"2022-01-04";"5517.460000000001";"0"
"Search Paid";"Google";"2022-01-05";"6089.063";"0"
"Search Paid";"Google";"2022-01-06";"5897.242999999999";"0"
"Search Paid";"Google";"2022-01-07";"5316.684";"0"
"Search Paid";"Google";"2022-01-08";"5836.051";"0"
"Search Paid";"Google";"2022-01-09";"5523.995";"0"
"Search Paid";"Google";"2022-01-10";"5649.331000000001";"0"
"Search Paid";"Google";"2022-01-11";"7453.963000000001";"0"
"Search Paid";"Google";"2022-01-12";"9594.726999999999";"0"
"Search Paid";"Google";"2022-01-13";"10135.522999999997";"0"
"Search Paid";"Google";"2022-01-14";"10224.283";"0"
"Search Paid";"Google";"2022-01-15";"12365.802000000003";"0"
"Search Paid";"Google";"2022-01-16";"17077.614999999998";"0"
"Search Paid";"Google";"2022-01-17";"18974.11200000001";"0"
"Search Paid";"Google";"2022-01-18";"17120.262";"0"
"Search Paid";"Google";"2022-01-19";"14700.676000000001";"0"
"Search Paid";"Google";"2022-01-20";"12964.544000000002";"0"
"Search Paid";"Google";"2022-01-21";"11642.748999999996";"0"
"Search Paid";"Google";"2022-01-22";"12456.791999999998";"0"
"Search Paid";"Google";"2022-01-23";"12092.494";"0"
"Search Paid";"Google";"2022-01-24";"8663.567";"0"
"Search Paid";"Google";"2022-01-25";"8352.702";"0"
"Search Paid";"Google";"2022-01-26";"9364.974";"0"
"Search Paid";"Google";"2022-01-27";"7267.4320000000025";"0"
"Search Paid";"Google";"2022-01-28";"7241.362999999999";"0"
"Search Paid";"Google";"2022-02-05";"12298.870000000003";"0"
"Search Paid";"Google";"2022-02-06";"14289.364";"0"
"Search Paid";"Google";"2022-02-07";"15801.357999999997";"0"
"Search Paid";"Google";"2022-02-08";"13617.944000000001";"0"
"Search Paid";"Google";"2022-02-09";"10110.150000000001";"0"
"Search Paid";"Google";"2022-02-10";"9392.077000000001";"0"
"Search Paid";"Google";"2022-02-11";"19020.240999999998";"0"
"Search Paid";"Google";"2022-02-12";"35533.793999999994";"0"
"Search Paid";"Google";"2022-02-13";"28859.357000000007";"0"
"Search Paid";"Google";"2022-02-14";"23033.317999999992";"0"
"Search Paid";"Google";"2022-02-15";"21346.997999999992";"0"
"Search Paid";"Google";"2022-02-16";"24188.493000000002";"0"
"Search Paid";"Google";"2022-02-17";"26202.90699999999";"0"
"Search Paid";"Google";"2022-02-18";"17622.397";"0"
"Search Paid";"Google";"2022-02-19";"20460.562";"0"
"Search Paid";"Google";"2022-02-20";"30644.299999999996";"0"
"Search Paid";"Google";"2022-02-21";"26793.178";"0"
"Search Paid";"Google";"2022-02-22";"15478.292";"0"
"Search Paid";"Google";"2022-02-23";"6432.036";"0"
"Search Paid";"Google";"2022-02-24";"5260.3150000000005";"0"
"Search Paid";"Google";"2022-02-25";"5019.819";"0"
"Search Paid";"Google";"2022-02-26";"5339.741";"0"
"Search Paid";"Google";"2022-02-27";"7977.661000000002";"0"
"Search Paid";"Google";"2022-02-28";"6398.062999999999";"0"
"Search Paid";"Google";"2022-03-01";"6393.589";"0"
"Search Paid";"Google";"2022-03-02";"6821.968999999999";"0"
"Search Paid";"Google";"2022-03-03";"5701.585000000001";"0"
"Search Paid";"Google";"2022-03-04";"6041.365";"0"
"Search Paid";"Google";"2022-03-05";"6504.33";"0"
"Search Paid";"Google";"2022-03-06";"7610.42";"0"
"Search Paid";"Google";"2022-03-07";"6453.075000000001";"0"
"Search Paid";"Google";"2022-03-08";"6266.901";"0"
"Search Paid";"Google";"2022-03-09";"6392.331";"0"
"Search Paid";"Google";"2022-03-10";"6781.504000000001";"0"
"Search Paid";"Google";"2022-03-11";"4975.669";"0"
"Search Paid";"Google";"2022-03-12";"6518.314";"0"
"Search Paid";"Google";"2022-03-13";"8278.205";"0"
"Search Paid";"Google";"2022-03-14";"7352.047000000002";"0"
"Search Paid";"Google";"2022-03-15";"7122.733000000001";"0"
"Search Paid";"Google";"2022-03-16";"7939.602";"0"
"Search Paid";"Google";"2022-03-17";"11289.490000000002";"0"
"Search Paid";"Google";"2022-03-18";"17041.989";"0"
"Search Paid";"Google";"2022-03-19";"19441.438000000002";"0"
"Search Paid";"Google";"2022-03-20";"24858.784";"0"
"Search Paid";"Google";"2022-03-21";"22267.769";"0"
"Search Paid";"Google";"2022-03-22";"17588.387000000002";"0"
"Search Paid";"Google";"2022-03-23";"11775.664000000002";"0"
"Search Paid";"Google";"2022-03-24";"13468.524";"0"
"Search Paid";"Google";"2022-03-25";"11570.095000000001";"0"
"Search Paid";"Google";"2022-03-26";"14375.535";"0"
"Search Paid";"Google";"2022-03-27";"17389.627";"0"
"Search Paid";"Google";"2022-03-28";"15311.614";"0"
"Search Paid";"Google";"2022-03-29";"15886.299";"0"
"Search Paid";"Google";"2022-03-30";"14465.741000000002";"0"
"Search Paid";"Google";"2022-03-31";"11529.978";"0"
"Search Paid";"Google";"2022-04-01";"11364.463";"0"
"Search Paid";"Google";"2022-04-02";"14122.014";"0"
"Search Paid";"Google";"2022-04-03";"16513.235";"0"
"Search Paid";"Google";"2022-04-04";"12987.194";"0"
"Search Paid";"Google";"2022-04-05";"14045.099999999999";"0"
"Search Paid";"Google";"2022-04-06";"15846.554";"0"
"Search Paid";"Google";"2022-04-07";"12476.017";"0"
"Search Paid";"Google";"2022-04-08";"15790.922";"0"
"Search Paid";"Google";"2022-04-09";"17656.674";"0"
"Search Paid";"Google";"2022-04-10";"22150.820999999993";"0"
"Search Paid";"Google";"2022-04-11";"21998.786";"0"
"Search Paid";"Google";"2022-04-12";"15019.491";"0"
"Search Paid";"Google";"2022-04-13";"10688.829000000002";"0"
"Search Paid";"Google";"2022-04-14";"11279.741";"0"
"Search Paid";"Google";"2022-04-15";"10663.657";"0"
"Search Paid";"Google";"2022-04-16";"10749.914";"0"
"Search Paid";"Google";"2022-04-17";"13052.740000000002";"0"
"Search Paid";"Google";"2022-04-18";"14097.315999999997";"0"
"Search Paid";"Google";"2022-04-19";"11374.554999999998";"0"
"Search Paid";"Google";"2022-04-20";"9629.494000000002";"0"
"Search Paid";"Google";"2022-04-21";"9055.601999999999";"0"
"Search Paid";"Google";"2022-04-22";"7189.274000000001";"0"
"Search Paid";"Google";"2022-04-23";"9744.142";"0"
"Search Paid";"Google";"2022-04-24";"12768.891";"0"
"Search Paid";"Google";"2022-04-25";"12665.025999999998";"0"
"Search Paid";"Google";"2022-04-26";"11949.990000000002";"0"
"Search Paid";"Google";"2022-04-27";"10182.49";"0"
"Search Paid";"Google";"2022-04-28";"9747.917000000001";"0"
"Search Paid";"Google";"2022-04-29";"6565.326999999998";"0"
"Search Paid";"Google";"2022-04-30";"8166.022999999999";"0"
"Search Paid";"Google";"2022-05-01";"10020.336";"0"
"Search Paid";"Google";"2022-05-02";"10102.574";"0"
"Search Paid";"Google";"2022-05-03";"9921.839000000002";"0"
"Search Paid";"Google";"2022-05-04";"9728.609";"0"
"Search Paid";"Google";"2022-05-05";"9226.74";"0"
"Search Paid";"Google";"2022-05-06";"9344.234999999999";"0"
"Search Paid";"Google";"2022-05-07";"10290.052";"0"
"Search Paid";"Google";"2022-05-08";"10551.608";"0"
"Search Paid";"Google";"2022-05-09";"9476.149999999998";"0"
"Search Paid";"Google";"2022-05-10";"9256.275000000001";"0"
"Search Paid";"Google";"2022-05-11";"9907.747";"0"
"Search Paid";"Google";"2022-05-12";"8001.379000000001";"0"
"Search Paid";"Google";"2022-05-13";"7707.533000000001";"0"
"Search Paid";"Google";"2022-05-14";"9232.561";"0"
"Search Paid";"Google";"2022-05-15";"12869.505000000001";"0"
"Search Paid";"Google";"2022-05-16";"11973.877";"0"
"Search Paid";"Google";"2022-05-17";"10465.077";"0"
"Search Paid";"Google";"2022-05-18";"11665.173";"0"
"Search Paid";"Google";"2022-05-19";"10305.568000000001";"0"
"Search Paid";"Google";"2022-05-20";"7836.48";"0"
"Search Paid";"Google";"2022-05-21";"7971.503999999999";"0"
"Search Paid";"Google";"2022-05-22";"8617.313";"0"
"Search Paid";"Google";"2022-05-23";"5783.828000000001";"0"
"Search Paid";"Google";"2022-05-24";"4204.286";"0"
"Search Paid";"Google";"2022-05-25";"3762.188";"0"
"Search Paid";"Google";"2022-05-26";"4684.123";"0"
"Search Paid";"Google";"2022-05-27";"5465.770999999999";"0"
"Search Paid";"Google";"2022-05-28";"5710.4710000000005";"0"
"Search Paid";"Google";"2022-05-29";"8080.495000000001";"0"
"Search Paid";"Google";"2022-05-30";"7788.571999999998";"0"
"Search Paid";"Google";"2022-05-31";"8991.829";"0"
"Search Paid";"Google";"2022-06-01";"7186.826000000001";"0"
"Social Paid";"Facebook";"2022-06-01";"20870.30645055011";"0"
"Search Paid";"Google";"2022-06-02";"7873.111999999999";"0"
"Social Paid";"Facebook";"2022-06-02";"15953.178020500052";"0"
"Search Paid";"Google";"2022-06-03";"9337.748";"0"
"Social Paid";"Facebook";"2022-06-03";"16260.274968749838";"0"
"Search Paid";"Google";"2022-06-04";"10652.940999999999";"0"
"Social Paid";"Facebook";"2022-06-04";"16471.651444800045";"0"
"Search Paid";"Google";"2022-06-05";"13161.389000000001";"0"
"Social Paid";"Facebook";"2022-06-05";"17546.011536900034";"0"
"Search Paid";"Google";"2022-06-06";"13014.122";"0"
"Social Paid";"Facebook";"2022-06-06";"17216.781012599997";"0"
"Search Paid";"Google";"2022-06-07";"8220.794000000002";"0"
"Social Paid";"Facebook";"2022-06-07";"16724.884476100007";"0"
"Search Paid";"Google";"2022-06-08";"8734.007000000001";"0"
"Social Paid";"Facebook";"2022-06-08";"16475.894556479994";"0"
"Search Paid";"Google";"2022-06-09";"6887.438";"0"
"Social Paid";"Facebook";"2022-06-09";"16467.583521090077";"0"
"Search Paid";"Google";"2022-06-10";"6662.822";"0"
"Social Paid";"Facebook";"2022-06-10";"17194.311268480054";"0"
"Search Paid";"Google";"2022-06-11";"7295.23";"0"
"Social Paid";"Facebook";"2022-06-11";"17317.411112300004";"0"
"Search Paid";"Google";"2022-06-12";"6936.766";"0"
"Social Paid";"Facebook";"2022-06-12";"18796.470339745036";"0"
"Search Paid";"Google";"2022-06-13";"7073.451999999999";"0"
"Social Paid";"Facebook";"2022-06-13";"17590.745798399963";"0"
"Search Paid";"Google";"2022-06-14";"8022.816999999999";"0"
"Social Paid";"Facebook";"2022-06-14";"15519.811599600022";"0"
"Search Paid";"Google";"2022-06-15";"6852.0509999999995";"0"
"Social Paid";"Facebook";"2022-06-15";"15067.738331100003";"0"
"Search Paid";"Google";"2022-06-16";"6480.119999999999";"0"
"Social Paid";"Facebook";"2022-06-16";"15217.626747315016";"0"
"Search Paid";"Google";"2022-06-17";"6306.527";"0"
"Social Paid";"Facebook";"2022-06-17";"15043.651861149989";"0"
"Search Paid";"Google";"2022-06-18";"6238.494000000001";"0"
"Social Paid";"Facebook";"2022-06-18";"15929.425192649986";"0"
"Search Paid";"Google";"2022-06-19";"6111.401";"0"
"Social Paid";"Facebook";"2022-06-19";"16790.993692779986";"0"
"Search Paid";"Google";"2022-06-20";"4969.662";"0"
"Social Paid";"Facebook";"2022-06-20";"16226.4154064";"0"
"Search Paid";"Google";"2022-06-21";"5788.242";"0"
"Social Paid";"Facebook";"2022-06-21";"15727.115913749985";"0"
"Search Paid";"Google";"2022-06-22";"5559.687";"0"
"Social Paid";"Facebook";"2022-06-22";"15427.33390480002";"0"
"Search Paid";"Google";"2022-06-23";"5684.999";"0"
"Social Paid";"Facebook";"2022-06-23";"15428.832469629982";"0"
"Search Paid";"Google";"2022-06-24";"4761.865000000001";"0"
"Social Paid";"Facebook";"2022-06-24";"15518.397977075005";"0"
"Search Paid";"Google";"2022-06-25";"6069.817999999999";"0"
"Social Paid";"Facebook";"2022-06-25";"15550.209623250008";"0"
"Search Paid";"Google";"2022-06-26";"6771.343000000001";"0"
"Social Paid";"Facebook";"2022-06-26";"16852.81645619996";"0"
"Search Paid";"Google";"2022-06-27";"6487.405";"0"
"Social Paid";"Facebook";"2022-06-27";"16227.075797999998";"0"
"Search Paid";"Google";"2022-06-28";"6305.158000000001";"0"
"Social Paid";"Facebook";"2022-06-28";"15541.130632649998";"0"
"Search Paid";"Google";"2022-06-29";"6895.612";"0"
"Social Paid";"Facebook";"2022-06-29";"15473.999886400012";"0"
"Search Paid";"Google";"2022-06-30";"5916.902000000001";"0"
"Social Paid";"Facebook";"2022-06-30";"15426.66217759999";"0"
"Search Paid";"Google";"2022-07-01";"6498.105";"0"
"Social Paid";"Facebook";"2022-07-01";"15694.108360749975";"0"
"Search Paid";"Google";"2022-07-02";"6240.569";"0"
"Social Paid";"Facebook";"2022-07-02";"15632.947185774967";"0"
"Search Paid";"Google";"2022-07-03";"4446.410000000002";"0"
"Social Paid";"Facebook";"2022-07-03";"17029.392976600004";"0"
"Search Paid";"Google";"2022-07-04";"3533.6180000000004";"0"
"Social Paid";"Facebook";"2022-07-04";"16392.745342399998";"0"
"Search Paid";"Google";"2022-07-05";"4921.780000000001";"0"
"Social Paid";"Facebook";"2022-07-05";"13992.460233217991";"0"
"Search Paid";"Google";"2022-07-06";"4820.961000000001";"0"
"Social Paid";"Facebook";"2022-07-06";"13735.57336108998";"0"
"Search Paid";"Google";"2022-07-07";"6559.691000000001";"0"
"Social Paid";"Facebook";"2022-07-07";"14303.33471461991";"0"
"Search Paid";"Google";"2022-07-08";"7627.196999999998";"0"
"Social Paid";"Facebook";"2022-07-08";"13983.95139877997";"0"
"Search Paid";"Google";"2022-07-09";"9398.778000000002";"0"
"Social Paid";"Facebook";"2022-07-09";"14419.366960050018";"0"
"Search Paid";"Google";"2022-07-10";"14047.501999999993";"0"
"Social Paid";"Facebook";"2022-07-10";"15065.591413860011";"0"
"Search Paid";"Google";"2022-07-11";"10147.467999999999";"0"
"Social Paid";"Facebook";"2022-07-11";"14475.446756800025";"0"
"Search Paid";"Google";"2022-07-12";"10491.457";"0"
"Social Paid";"Facebook";"2022-07-12";"16055.63828000002";"0"
"Search Paid";"Google";"2022-07-13";"11948.219999999998";"0"
"Social Paid";"Facebook";"2022-07-13";"16635.817982460052";"0"
"Search Paid";"Google";"2022-07-14";"13263.094000000003";"0"
"Social Paid";"Facebook";"2022-07-14";"16993.94236110001";"0"
"Search Paid";"Google";"2022-07-15";"10069.137999999997";"0"
"Social Paid";"Facebook";"2022-07-15";"18795.39869736001";"0"
"Search Paid";"Google";"2022-07-16";"10932.599000000002";"0"
"Social Paid";"Facebook";"2022-07-16";"16282.65561000002";"0"
"Search Paid";"Google";"2022-07-17";"11819.836";"0"
"Social Paid";"Facebook";"2022-07-17";"15579.589485199993";"0"
"Search Paid";"Google";"2022-07-18";"12652.172";"0"
"Social Paid";"Facebook";"2022-07-18";"14850.756573799988";"0"
"Search Paid";"Google";"2022-07-19";"13863.179";"0"
"Social Paid";"Facebook";"2022-07-19";"15763.372284490031";"0"
"Search Paid";"Google";"2022-07-20";"13754.913999999997";"0"
"Social Paid";"Facebook";"2022-07-20";"16570.949400810005";"0"
"Search Paid";"Google";"2022-07-21";"14801.125";"0"
"Social Paid";"Facebook";"2022-07-21";"17060.27794990099";"0"
"Search Paid";"Google";"2022-07-22";"16420.428";"0"
"Social Paid";"Facebook";"2022-07-22";"15426.502899069983";"0"
"Search Paid";"Google";"2022-07-23";"18851.02700000001";"0"
"Social Paid";"Facebook";"2022-07-23";"16503.371926299988";"0"
"Search Paid";"Google";"2022-07-24";"16558.192999999996";"0"
"Social Paid";"Facebook";"2022-07-24";"19432.833074369995";"0"
"Search Paid";"Google";"2022-07-25";"17150.720999999998";"0"
"Social Paid";"Facebook";"2022-07-25";"16990.302977100007";"0"
"Search Paid";"Google";"2022-07-26";"18206.662000000004";"0"
"Social Paid";"Facebook";"2022-07-26";"14134.387418760012";"0"
"Search Paid";"Google";"2022-07-27";"17964.397000000004";"0"
"Social Paid";"Facebook";"2022-07-27";"15276.68112959999";"0"
"Search Paid";"Google";"2022-07-28";"15004.033999999998";"0"
"Social Paid";"Facebook";"2022-07-28";"15615.32590710001";"0"
"Search Paid";"Google";"2022-07-29";"11971.496000000001";"0"
"Social Paid";"Facebook";"2022-07-29";"15062.125634820015";"0"
"Search Paid";"Google";"2022-07-30";"13249.53";"0"
"Social Paid";"Facebook";"2022-07-30";"14139.88653760801";"0"
"Search Paid";"Google";"2022-07-31";"13704.61";"0"
"Social Paid";"Facebook";"2022-07-31";"15109.896622135011";"0"
"Search Paid";"Google";"2022-08-01";"13700.171000000002";"0"
"Social Paid";"Facebook";"2022-08-01";"14592.603831300028";"0"
"Search Paid";"Google";"2022-08-02";"13984.052";"0"
"Social Paid";"Facebook";"2022-08-02";"14494.275842809962";"0"
"Search Paid";"Google";"2022-08-03";"13763.802";"0"
"Social Paid";"Facebook";"2022-08-03";"14776.122808900005";"0"
"Search Paid";"Google";"2022-08-04";"13463.751";"0"
"Social Paid";"Facebook";"2022-08-04";"14594.136270450008";"0"
"Search Paid";"Google";"2022-08-05";"14945.919000000005";"0"
"Social Paid";"Facebook";"2022-08-05";"14987.58106506";"0"
"Search Paid";"Google";"2022-08-06";"19116.551";"0"
"Social Paid";"Facebook";"2022-08-06";"15236.325477359998";"0"
"Search Paid";"Google";"2022-08-07";"23706.264000000003";"0"
"Social Paid";"Facebook";"2022-08-07";"16141.753662650019";"0"
"Search Paid";"Google";"2022-08-08";"15235.783000000003";"0"
"Social Paid";"Facebook";"2022-08-08";"16080.657060375015";"0"
"Search Paid";"Google";"2022-08-09";"14462.687999999998";"0"
"Social Paid";"Facebook";"2022-08-09";"18036.06959447998";"0"
"Search Paid";"Google";"2022-08-10";"13089.960000000003";"0"
"Social Paid";"Facebook";"2022-08-10";"18877.64354025002";"0"
"Search Paid";"Google";"2022-08-11";"11880.420000000002";"0"
"Social Paid";"Facebook";"2022-08-11";"19416.394348921975";"0"
"Search Paid";"Google";"2022-08-12";"8326.618000000002";"0"
"Social Paid";"Facebook";"2022-08-12";"20965.630827460012";"0"
"Search Paid";"Google";"2022-08-13";"8690.591";"0"
"Social Paid";"Facebook";"2022-08-13";"20871.347386800022";"0"
"Search Paid";"Google";"2022-08-14";"8037.154999999999";"0"
"Social Paid";"Facebook";"2022-08-14";"21162.167803392003";"0"
"Search Paid";"Google";"2022-08-15";"10846.322999999999";"0"
"Social Paid";"Facebook";"2022-08-15";"21241.615521795";"0"
"Search Paid";"Google";"2022-08-16";"13734.605";"0"
"Social Paid";"Facebook";"2022-08-16";"20280.67717454999";"0"
"Search Paid";"Google";"2022-08-17";"15271.825000000003";"0"
"Social Paid";"Facebook";"2022-08-17";"18959.388507840005";"0"
"Search Paid";"Google";"2022-08-18";"15734.023000000001";"0"
"Social Paid";"Facebook";"2022-08-18";"21006.73156076001";"0"
"Search Paid";"Google";"2022-08-19";"16104.045999999998";"0"
"Social Paid";"Facebook";"2022-08-19";"21920.440687664985";"0"
"Search Paid";"Google";"2022-08-20";"16284.885";"0"
"Social Paid";"Facebook";"2022-08-20";"22944.732590475003";"0"
"Search Paid";"Google";"2022-08-21";"15086.432";"0"
"Social Paid";"Facebook";"2022-08-21";"22949.39404601501";"0"
"Search Paid";"Google";"2022-08-22";"13838.86";"0"
"Social Paid";"Facebook";"2022-08-22";"24059.397506285";"0"
"Search Paid";"Google";"2022-08-23";"15155.858999999999";"0"
"Social Paid";"Facebook";"2022-08-23";"23914.520993385013";"0"
"Search Paid";"Google";"2022-08-24";"16793.384000000002";"0"
"Social Paid";"Facebook";"2022-08-24";"20396.728791992984";"0"
"Search Paid";"Google";"2022-08-25";"15863.461000000003";"0"
"Social Paid";"Facebook";"2022-08-25";"20378.96716590002";"0"
"Search Paid";"Google";"2022-08-26";"17134.948";"0"
"Social Paid";"Facebook";"2022-08-26";"20552.035411250014";"0"
"Search Paid";"Google";"2022-08-27";"18873.771";"0"
"Social Paid";"Facebook";"2022-08-27";"21191.084993750017";"0"
"Search Paid";"Google";"2022-08-28";"18776.095";"0"
"Social Paid";"Facebook";"2022-08-28";"22513.742109599996";"0"
"Search Paid";"Google";"2022-08-29";"15343.228";"0"
"Social Paid";"Facebook";"2022-08-29";"22257.352401102027";"0"
"Search Paid";"Google";"2022-08-30";"15553.414999999995";"0"
"Social Paid";"Facebook";"2022-08-30";"22718.270689619996";"0"
"Search Paid";"Google";"2022-08-31";"16473.660000000003";"0"
"Social Paid";"Facebook";"2022-08-31";"25725.245139989987";"0"
