"Days";"Channel";"Marketing spend";"Compare range: Marketing spend"
"2022-01-01";"Google";"5143.61";"0"
"2022-01-02";"Google";"6548.029";"0"
"2022-01-03";"Google";"6097.886999999999";"0"
"2022-01-04";"Google";"5517.460000000001";"0"
"2022-01-05";"Google";"6089.063";"0"
"2022-01-06";"Google";"5897.242999999999";"0"
"2022-01-07";"Google";"5316.684";"0"
"2022-01-08";"Google";"5836.051";"0"
"2022-01-09";"Google";"5523.995";"0"
"2022-01-10";"Google";"5649.331000000001";"0"
"2022-01-11";"Google";"7453.963000000001";"0"
"2022-01-12";"Google";"9594.726999999999";"0"
"2022-01-13";"Google";"10135.522999999997";"0"
"2022-01-14";"Google";"10224.283";"0"
"2022-01-15";"Google";"12365.802000000003";"0"
"2022-01-16";"Google";"17077.614999999998";"0"
"2022-01-17";"Google";"18974.11200000001";"0"
"2022-01-18";"Google";"17120.262";"0"
"2022-01-19";"Google";"14700.676000000001";"0"
"2022-01-20";"Google";"12964.544000000002";"0"
"2022-01-21";"Google";"11642.748999999996";"0"
"2022-01-22";"Google";"12456.791999999998";"0"
"2022-01-23";"Google";"12092.494";"0"
"2022-01-24";"Google";"8663.567";"0"
"2022-01-25";"Google";"8352.702";"0"
"2022-01-26";"Google";"9364.974";"0"
"2022-01-27";"Google";"7267.4320000000025";"0"
"2022-01-28";"Google";"7241.362999999999";"0"
"2022-02-05";"Google";"12298.870000000003";"0"
"2022-02-06";"Google";"14289.364";"0"
"2022-02-07";"Google";"15801.357999999997";"0"
"2022-02-08";"Google";"13617.944000000001";"0"
"2022-02-09";"Google";"10110.150000000001";"0"
"2022-02-10";"Google";"9392.077000000001";"0"
"2022-02-11";"Google";"19020.240999999998";"0"
"2022-02-12";"Google";"35533.793999999994";"0"
"2022-02-13";"Google";"28859.357000000007";"0"
"2022-02-14";"Google";"23033.317999999992";"0"
"2022-02-15";"Google";"21346.997999999992";"0"
"2022-02-16";"Google";"24188.493000000002";"0"
"2022-02-17";"Google";"26202.90699999999";"0"
"2022-02-18";"Google";"17622.397";"0"
"2022-02-19";"Google";"20460.562";"0"
"2022-02-20";"Google";"30644.299999999996";"0"
"2022-02-21";"Google";"26793.178";"0"
"2022-02-22";"Google";"15478.292";"0"
"2022-02-23";"Google";"6432.036";"0"
"2022-02-24";"Google";"5260.3150000000005";"0"
"2022-02-25";"Google";"5019.819";"0"
"2022-02-26";"Google";"5339.741";"0"
"2022-02-27";"Google";"7977.661000000002";"0"
"2022-02-28";"Google";"6398.062999999999";"0"
"2022-03-01";"Google";"6393.589";"0"
"2022-03-02";"Google";"6821.968999999999";"0"
"2022-03-03";"Google";"5701.585000000001";"0"
"2022-03-04";"Google";"6041.365";"0"
"2022-03-05";"Google";"6504.33";"0"
"2022-03-06";"Google";"7610.42";"0"
"2022-03-07";"Google";"6453.075000000001";"0"
"2022-03-08";"Google";"6266.901";"0"
"2022-03-09";"Google";"6392.331";"0"
"2022-03-10";"Google";"6781.504000000001";"0"
"2022-03-11";"Google";"4975.669";"0"
"2022-03-12";"Google";"6518.314";"0"
"2022-03-13";"Google";"8278.205";"0"
"2022-03-14";"Google";"7352.047000000002";"0"
"2022-03-15";"Google";"7122.733000000001";"0"
"2022-03-16";"Google";"7939.602";"0"
"2022-03-17";"Google";"11289.490000000002";"0"
"2022-03-18";"Google";"17041.989";"0"
"2022-03-19";"Google";"19441.438000000002";"0"
"2022-03-20";"Google";"24858.784";"0"
"2022-03-21";"Google";"22267.769";"0"
"2022-03-22";"Google";"17588.387000000002";"0"
"2022-03-23";"Google";"11775.664000000002";"0"
"2022-03-24";"Google";"13468.524";"0"
"2022-03-25";"Google";"11570.095000000001";"0"
"2022-03-26";"Google";"14375.535";"0"
"2022-03-27";"Google";"17389.627";"0"
"2022-03-28";"Google";"15311.614";"0"
"2022-03-29";"Google";"15886.299";"0"
"2022-03-30";"Google";"14465.741000000002";"0"
"2022-03-31";"Google";"11529.978";"0"
"2022-04-01";"Google";"11364.463";"0"
"2022-04-02";"Google";"14122.014";"0"
"2022-04-03";"Google";"16513.235";"0"
"2022-04-04";"Google";"12987.194";"0"
"2022-04-05";"Google";"14045.099999999999";"0"
"2022-04-06";"Google";"15846.554";"0"
"2022-04-07";"Google";"12476.017";"0"
"2022-04-08";"Google";"15790.922";"0"
"2022-04-09";"Google";"17656.674";"0"
"2022-04-10";"Google";"22150.820999999993";"0"
"2022-04-11";"Google";"21998.786";"0"
"2022-04-12";"Google";"15019.491";"0"
"2022-04-13";"Google";"10688.829000000002";"0"
"2022-04-14";"Google";"11279.741";"0"
"2022-04-15";"Google";"10663.657";"0"
"2022-04-16";"Google";"10749.914";"0"
"2022-04-17";"Google";"13052.740000000002";"0"
"2022-04-18";"Google";"14097.315999999997";"0"
"2022-04-19";"Google";"11374.554999999998";"0"
"2022-04-20";"Google";"9629.494000000002";"0"
"2022-04-21";"Google";"9055.601999999999";"0"
"2022-04-22";"Google";"7189.274000000001";"0"
"2022-04-23";"Google";"9744.142";"0"
"2022-04-24";"Google";"12768.891";"0"
"2022-04-25";"Google";"12665.025999999998";"0"
"2022-04-26";"Google";"11949.990000000002";"0"
"2022-04-27";"Google";"10182.49";"0"
"2022-04-28";"Google";"9747.917000000001";"0"
"2022-04-29";"Google";"6565.326999999998";"0"
"2022-04-30";"Google";"8166.022999999999";"0"
"2022-05-01";"Google";"10020.336";"0"
"2022-05-02";"Google";"10102.574";"0"
"2022-05-03";"Google";"9921.839";"0"
"2022-05-04";"Google";"9728.609";"0"
"2022-05-05";"Google";"9226.74";"0"
"2022-05-06";"Google";"9344.234999999999";"0"
"2022-05-07";"Google";"10290.052";"0"
"2022-05-08";"Google";"10551.608";"0"
"2022-05-09";"Google";"9476.15";"0"
"2022-05-10";"Google";"9256.275000000001";"0"
"2022-05-11";"Google";"9907.747";"0"
"2022-05-12";"Google";"8001.379000000001";"0"
"2022-05-13";"Google";"7707.533";"0"
"2022-05-14";"Google";"9232.561";"0"
"2022-05-15";"Google";"12869.505000000001";"0"
"2022-05-16";"Google";"11973.877";"0"
"2022-05-17";"Google";"10465.077";"0"
"2022-05-18";"Google";"11665.173";"0"
"2022-05-19";"Google";"10305.568000000001";"0"
"2022-05-20";"Google";"7836.48";"0"
"2022-05-21";"Google";"7971.503999999999";"0"
"2022-05-22";"Google";"8617.313";"0"
"2022-05-23";"Google";"5783.8279999999995";"0"
"2022-05-24";"Google";"4204.286";"0"
"2022-05-25";"Google";"3762.188";"0"
"2022-05-26";"Google";"4684.122999999998";"0"
"2022-05-27";"Google";"5465.770999999999";"0"
"2022-05-28";"Google";"5710.471";"0"
"2022-05-29";"Google";"8080.495000000001";"0"
"2022-05-30";"Google";"7788.572";"0"
"2022-05-31";"Google";"8991.829";"0"
"2022-06-01";"Facebook";"20870.306450550048";"0"
"2022-06-01";"Google";"7186.826000000001";"0"
"2022-06-02";"Facebook";"15953.178020500061";"0"
"2022-06-02";"Google";"7873.112000000001";"0"
"2022-06-03";"Facebook";"16260.274968749844";"0"
"2022-06-03";"Google";"9337.748000000001";"0"
"2022-06-04";"Facebook";"16471.651444800067";"0"
"2022-06-04";"Google";"10652.940999999999";"0"
"2022-06-05";"Facebook";"17546.01153690006";"0"
"2022-06-05";"Google";"13161.389";"0"
"2022-06-06";"Facebook";"17216.78101260001";"0"
"2022-06-06";"Google";"13014.122";"0"
"2022-06-07";"Facebook";"16724.884476100007";"0"
"2022-06-07";"Google";"8220.794";"0"
"2022-06-08";"Facebook";"16475.89455647999";"0"
"2022-06-08";"Google";"8734.007000000001";"0"
"2022-06-09";"Facebook";"16467.583521090055";"0"
"2022-06-09";"Google";"6887.438";"0"
"2022-06-10";"Facebook";"17194.311268479953";"0"
"2022-06-10";"Google";"6662.822000000002";"0"
"2022-06-11";"Facebook";"17317.411112300004";"0"
"2022-06-11";"Google";"7295.229999999998";"0"
"2022-06-12";"Facebook";"18796.470339745036";"0"
"2022-06-12";"Google";"6936.766";"0"
"2022-06-13";"Facebook";"17590.745798399978";"0"
"2022-06-13";"Google";"7073.451999999999";"0"
"2022-06-14";"Facebook";"15519.811599600023";"0"
"2022-06-14";"Google";"8022.816999999999";"0"
"2022-06-15";"Facebook";"15067.738331100005";"0"
"2022-06-15";"Google";"6852.0509999999995";"0"
"2022-06-16";"Facebook";"15217.626747315022";"0"
"2022-06-16";"Google";"6480.119999999999";"0"
"2022-06-17";"Facebook";"15043.651861149976";"0"
"2022-06-17";"Google";"6306.527000000002";"0"
"2022-06-18";"Facebook";"15929.425192649986";"0"
"2022-06-18";"Google";"6238.494000000001";"0"
"2022-06-19";"Facebook";"16790.993692779986";"0"
"2022-06-19";"Google";"6111.401";"0"
"2022-06-20";"Facebook";"16226.4154064";"0"
"2022-06-20";"Google";"4969.662";"0"
"2022-06-21";"Facebook";"15727.115913749973";"0"
"2022-06-21";"Google";"5788.242";"0"
"2022-06-22";"Facebook";"15427.333904800023";"0"
"2022-06-22";"Google";"5559.686999999999";"0"
"2022-06-23";"Facebook";"15428.832469629977";"0"
"2022-06-23";"Google";"5684.999000000001";"0"
"2022-06-24";"Facebook";"15518.397977075008";"0"
"2022-06-24";"Google";"4761.865";"0"
"2022-06-25";"Facebook";"15550.209623250008";"0"
"2022-06-25";"Google";"6069.817999999999";"0"
"2022-06-26";"Facebook";"16852.816456199955";"0"
"2022-06-26";"Google";"6771.343000000001";"0"
"2022-06-27";"Facebook";"16227.075798000002";"0"
"2022-06-27";"Google";"6487.405000000001";"0"
"2022-06-28";"Facebook";"15541.130632649989";"0"
"2022-06-28";"Google";"6305.158000000002";"0"
"2022-06-29";"Facebook";"15473.999886400017";"0"
"2022-06-29";"Google";"6895.612000000001";"0"
"2022-06-30";"Facebook";"15426.662177599988";"0"
"2022-06-30";"Google";"5916.902";"0"
"2022-07-01";"Facebook";"15694.108360749975";"0"
"2022-07-01";"Google";"6498.105";"0"
"2022-07-02";"Facebook";"15632.947185774967";"0"
"2022-07-02";"Google";"6240.569";"0"
"2022-07-03";"Facebook";"17029.392976600004";"0"
"2022-07-03";"Google";"4446.410000000002";"0"
"2022-07-04";"Facebook";"16392.745342399998";"0"
"2022-07-04";"Google";"3533.6180000000004";"0"
"2022-07-05";"Facebook";"13992.460233217991";"0"
"2022-07-05";"Google";"4921.780000000001";"0"
"2022-07-06";"Facebook";"13735.57336108998";"0"
"2022-07-06";"Google";"4820.961000000001";"0"
"2022-07-07";"Facebook";"14303.33471461991";"0"
"2022-07-07";"Google";"6559.691000000001";"0"
"2022-07-08";"Facebook";"13983.95139877997";"0"
"2022-07-08";"Google";"7627.196999999998";"0"
"2022-07-09";"Facebook";"14419.366960050018";"0"
"2022-07-09";"Google";"9398.778000000002";"0"
"2022-07-10";"Facebook";"15065.591413860011";"0"
"2022-07-10";"Google";"14047.501999999993";"0"
"2022-07-11";"Facebook";"14475.446756800025";"0"
"2022-07-11";"Google";"10147.467999999999";"0"
"2022-07-12";"Facebook";"16055.63828000002";"0"
"2022-07-12";"Google";"10491.457";"0"
"2022-07-13";"Facebook";"16635.817982460052";"0"
"2022-07-13";"Google";"11948.219999999998";"0"
"2022-07-14";"Facebook";"16993.94236110001";"0"
"2022-07-14";"Google";"13263.094000000003";"0"
"2022-07-15";"Facebook";"18795.39869736001";"0"
"2022-07-15";"Google";"10069.137999999997";"0"
"2022-07-16";"Facebook";"16282.65561000002";"0"
"2022-07-16";"Google";"10932.599000000002";"0"
"2022-07-17";"Facebook";"15579.589485199993";"0"
"2022-07-17";"Google";"11819.836";"0"
"2022-07-18";"Facebook";"14850.756573799988";"0"
"2022-07-18";"Google";"12652.172";"0"
"2022-07-19";"Facebook";"15763.372284490031";"0"
"2022-07-19";"Google";"13863.179";"0"
"2022-07-20";"Facebook";"16570.949400810005";"0"
"2022-07-20";"Google";"13754.913999999997";"0"
"2022-07-21";"Facebook";"17060.27794990099";"0"
"2022-07-21";"Google";"14801.125";"0"
"2022-07-22";"Facebook";"15426.502899069983";"0"
"2022-07-22";"Google";"16420.428";"0"
"2022-07-23";"Facebook";"16503.371926299988";"0"
"2022-07-23";"Google";"18851.02700000001";"0"
"2022-07-24";"Facebook";"19432.833074369995";"0"
"2022-07-24";"Google";"16558.192999999996";"0"
"2022-07-25";"Facebook";"16990.302977100007";"0"
"2022-07-25";"Google";"17150.720999999998";"0"
"2022-07-26";"Facebook";"14134.387418760012";"0"
"2022-07-26";"Google";"18206.662000000004";"0"
"2022-07-27";"Facebook";"15276.68112959999";"0"
"2022-07-27";"Google";"17964.397000000004";"0"
"2022-07-28";"Facebook";"15615.32590710001";"0"
"2022-07-28";"Google";"15004.033999999998";"0"
"2022-07-29";"Facebook";"15062.125634820015";"0"
"2022-07-29";"Google";"11971.496000000001";"0"
"2022-07-30";"Facebook";"14139.88653760801";"0"
