AU,2023-12-18,357.70,107.31,250.39
AT,2023-12-18,4.50,1.35,3.15
BE,2023-12-18,126.32,37.90,88.42
CA,2023-12-18,9.30,2.79,6.51
HR,2023-12-18,38.02,11.41,26.61
DK,2023-12-18,45.68,13.71,31.98
FI,2023-12-18,5.93,1.78,4.15
FR,2023-12-18,259.18,77.75,181.43
DE,2023-12-18,1107.96,332.39,775.57
GR,2023-12-18,52.12,15.64,36.49
HK,2023-12-18,110.07,33.02,77.05
IE,2023-12-18,57.23,17.17,40.06
IT,2023-12-18,146.25,43.87,102.37
LU,2023-12-18,2.96,0.89,2.07
NL,2023-12-18,204.91,61.47,143.44
NZ,2023-12-18,3.78,1.13,2.65
NO,2023-12-18,1.33,0.40,0.93
PT,2023-12-18,94.23,28.27,65.96
SG,2023-12-18,163.73,49.12,114.61
ES,2023-12-18,102.92,30.87,72.04
SE,2023-12-18,1507.16,452.15,1055.01
CH,2023-12-18,1.74,0.52,1.22
AE,2023-12-18,127.04,38.11,88.93
GB,2023-12-18,1482.94,444.88,1038.06
US,2023-12-18,2031.86,609.56,1422.30
AU,2023-12-19,34.75,10.43,24.33
AT,2023-12-19,5.59,1.68,3.91
BE,2023-12-19,48.67,14.60,34.07
CA,2023-12-19,20.83,6.25,14.58
HR,2023-12-19,33.94,10.18,23.76
DK,2023-12-19,5.08,1.52,3.56
FI,2023-12-19,5.99,1.80,4.20
FR,2023-12-19,13.72,4.12,9.60
DE,2023-12-19,20.63,6.19,14.44
GR,2023-12-19,83.02,24.90,58.11
HK,2023-12-19,41.96,12.59,29.38
IE,2023-12-19,17.38,5.21,12.16
IT,2023-12-19,85.76,25.73,60.03
LU,2023-12-19,3.05,0.91,2.13
NL,2023-12-19,109.54,32.86,76.67
NZ,2023-12-19,29.87,8.96,20.91
NO,2023-12-19,3.96,1.19,2.77
PT,2023-12-19,84.74,25.42,59.32
SG,2023-12-19,85.66,25.70,59.96
ES,2023-12-19,42.78,12.83,29.94
SE,2023-12-19,13.82,4.15,9.67
CH,2023-12-19,4.27,1.28,2.99
AE,2023-12-19,251.69,75.51,176.18
GB,2023-12-19,33.84,10.15,23.69
US,2023-12-19,421.98,126.60,295.39
AU,2023-12-20,0.20,0.06,0.14
AT,2023-12-20,0.10,0.03,0.07
BE,2023-12-20,0.31,0.09,0.21
CA,2023-12-20,0.10,0.03,0.07
HR,2023-12-20,0.10,0.03,0.07
DK,2023-12-20,0.20,0.06,0.14
FI,2023-12-20,0.00,0.00,0.00
FR,2023-12-20,0.51,0.15,0.36
DE,2023-12-20,0.31,0.09,0.21
GR,2023-12-20,0.31,0.09,0.21
HK,2023-12-20,0.10,0.03,0.07
IE,2023-12-20,0.10,0.03,0.07
IT,2023-12-20,1.02,0.31,0.71
LU,2023-12-20,0.00,0.00,0.00
NL,2023-12-20,0.81,0.24,0.57
NZ,2023-12-20,0.10,0.03,0.07
NO,2023-12-20,0.31,0.09,0.21
PT,2023-12-20,2.24,0.67,1.57
SG,2023-12-20,0.10,0.03,0.07
ES,2023-12-20,2.24,0.67,1.57
