Year,Month,New,Returning
2022,1,453,19
2022,2,293,19
2022,3,290,27
2022,4,522,55
2022,5,680,84
2022,6,468,78
2022,7,1047,170
2022,8,527,90
2022,9,97,19
2022,10,65,14
2022,11,186,50
2022,12,127,30
2023,1,278,47
2023,2,282,87
2023,3,563,161
2023,4,774,180
2023,5,1008,253
2023,6,1322,425
2023,7,950,316
2023,8,295,106
2023,9,98,33
2023,10,85,29
2023,11,224,122
2023,12,133,87
2024,1,406,163
2024,2,111,81
2024,3,371,211
2024,4,326,110
2024,5,397,161
2024,6,913,376
2024,7,887,422
2024,8,524,233
2024,9,94,41
2024,10,153,117
2024,11,160,114
2024,12,158,112
2025,1,494,264
2025,2,253,102
2025,3,276,104
2025,4,96,64
2025,5,18,10
