Market,Date,Total Spend,Ad Spend,FB Spend
AT,2024-01-22,9.84,2.95,6.89
CA,2024-01-22,78.42,23.53,54.9
DK,2024-01-22,42.4,12.72,29.68
FI,2024-01-22,8.48,2.54,5.94
FR,2024-01-22,396.61,118.98,277.63
DE,2024-01-22,542.46,162.74,379.72
GR,2024-01-22,0.0,0.0,0.0
HK,2024-01-22,28.9,8.67,20.23
IE,2024-01-22,20.52,6.16,14.37
IT,2024-01-22,128.47,38.54,89.93
NL,2024-01-22,31.62,9.49,22.13
SG,2024-01-22,26.59,7.98,18.62
ES,2024-01-22,2.09,0.63,1.47
SE,2024-01-22,1504.25,451.28,1052.98
AE,2024-01-22,19.06,5.72,13.34
GB,2024-01-22,1007.13,302.14,704.99
US,2024-01-22,1829.35,548.81,1280.55
AU,2024-01-23,99.91,29.97,69.93
AT,2024-01-23,12.68,3.81,8.88
CA,2024-01-23,62.17,18.65,43.52
DK,2024-01-23,100.64,30.19,70.45
FI,2024-01-23,10.69,3.21,7.49
FR,2024-01-23,537.48,161.24,376.24
DE,2024-01-23,425.1,127.53,297.57
GR,2024-01-23,0.0,0.0,0.0
HK,2024-01-23,34.7,10.41,24.29
IE,2024-01-23,11.53,3.46,8.07
IT,2024-01-23,35.54,10.66,24.88
NL,2024-01-23,104.62,31.39,73.24
SG,2024-01-23,12.79,3.84,8.95
ES,2024-01-23,59.44,17.83,41.61
SE,2024-01-23,1640.22,492.07,1148.15
AE,2024-01-23,0.0,0.0,0.0
GB,2024-01-23,1301.5,390.45,911.05
US,2024-01-23,1527.52,458.26,1069.27
AU,2024-01-24,52.63,15.79,36.84
AT,2024-01-24,8.25,2.47,5.77
CA,2024-01-24,78.31,23.49,54.82
DK,2024-01-24,21.51,6.45,15.06
FI,2024-01-24,31.43,9.43,22.0
FR,2024-01-24,253.11,75.93,177.18
DE,2024-01-24,225.02,67.51,157.51
GR,2024-01-24,0.0,0.0,0.0
HK,2024-01-24,21.72,6.52,15.2
IE,2024-01-24,107.65,32.3,75.36
IT,2024-01-24,168.22,50.46,117.75
NL,2024-01-24,186.59,55.98,130.62
SG,2024-01-24,39.89,11.97,27.92
ES,2024-01-24,5.85,1.75,4.09
SE,2024-01-24,2579.53,773.86,1805.67
AE,2024-01-24,40.62,12.19,28.43
GB,2024-01-24,1080.51,324.15,756.36
US,2024-01-24,1470.3,441.09,1029.21
AU,2024-01-25,102.55,30.77,71.79
AT,2024-01-25,27.57,8.27,19.3
CA,2024-01-25,69.55,20.87,48.69
DK,2024-01-25,127.09,38.13,88.97
FI,2024-01-25,25.69,7.71,17.98
FR,2024-01-25,308.28,92.49,215.8
DE,2024-01-25,796.71,239.01,557.7
GR,2024-01-25,1.15,0.34,0.8
HK,2024-01-25,87.51,26.25,61.26
IE,2024-01-25,2.19,0.66,1.54
IT,2024-01-25,61.09,18.33,42.77
NL,2024-01-25,68.72,20.61,48.1
SG,2024-01-25,43.76,13.13,30.63
ES,2024-01-25,2.82,0.85,1.97
SE,2024-01-25,1339.87,401.96,937.91
AE,2024-01-25,70.6,21.18,49.42
GB,2024-01-25,1138.1,341.43,796.67
US,2024-01-25,1510.72,453.22,1057.5
AU,2024-01-26,221.65,66.49,155.15
AT,2024-01-26,7.83,2.35,5.48
CA,2024-01-26,45.02,13.51,31.51
DK,2024-01-26,42.3,12.69,29.61
FI,2024-01-26,0.0,0.0,0.0
FR,2024-01-26,307.82,92.35,215.48
DE,2024-01-26,446.33,133.9,312.43
GR,2024-01-26,12.64,3.79,8.85
HK,2024-01-26,0.1,0.03,0.07
IE,2024-01-26,101.22,30.36,70.85
IT,2024-01-26,48.99,14.7,34.29
NL,2024-01-26,252.36,75.71,176.65
SG,2024-01-26,3.76,1.13,2.63
ES,2024-01-26,0.21,0.06,0.15
SE,2024-01-26,1351.52,405.46,946.06
AE,2024-01-26,58.6,17.58,41.02
GB,2024-01-26,829.67,248.9,580.77
US,2024-01-26,1369.8,410.94,958.86
AU,2024-01-27,98.08,29.42,68.66
AT,2024-01-27,6.37,1.91,4.46
CA,2024-01-27,85.02,25.51,59.52
DK,2024-01-27,4.18,1.25,2.92
FI,2024-01-27,10.97,3.29,7.68
FR,2024-01-27,280.35,84.11,196.25
DE,2024-01-27,322.86,96.86,226.01
GR,2024-01-27,1.36,0.41,0.95
HK,2024-01-27,43.03,12.91,30.12
IE,2024-01-27,197.31,59.19,138.12
IT,2024-01-27,131.3,39.39,91.91
NL,2024-01-27,26.01,7.8,18.21
SG,2024-01-27,104.77,31.43,73.34
ES,2024-01-27,0.1,0.03,0.07
SE,2024-01-27,1024.89,307.47,717.43
AE,2024-01-27,0.0,0.0,0.0
GB,2024-01-27,773.06,231.92,541.14
US,2024-01-27,1527.84,458.35,1069.49
AU,2024-01-28,86.28,25.88,60.39
AT,2024-01-28,8.8,2.64,6.16
CA,2024-01-28,186.16,55.85,130.31
DK,2024-01-28,97.9,29.37,68.53
FI,2024-01-28,17.28,5.18,12.09
FR,2024-01-28,202.18,60.66,141.53
DE,2024-01-28,331.28,99.39,231.9
GR,2024-01-28,3.98,1.19,2.79
HK,2024-01-28,25.97,7.79,18.18
IE,2024-01-28,15.81,4.74,11.07
