Year,ISO Week,GM2
2023,50,
2023,51,
2023,52,
2024,1,
2024,2,
2024,3,
2024,4,47.1%
2024,5,47.1%
2024,6,64.6%
2024,7,64.6%
2024,8,64.6%
2024,9,64.6%
2024,10,61.7%
2024,11,61.7%
2024,12,61.7%
2024,13,61.7%
2024,14,67.1%
2024,15,67.1%
2024,16,67.1%
2024,17,67.1%
2024,18,67.1%
2024,19,65.8%
2024,20,65.8%
2024,21,65.8%
2024,22,65.8%
2024,23,63.1%
2024,24,63.1%
2024,25,63.1%
2024,26,63.1%
2024,27,61.8%
2024,28,61.8%
2024,29,61.8%
2024,30,61.8%
2024,31,61.8%
2024,32,69.0%
2024,33,69.0%
2024,34,69.0%
2024,35,69.0%
2024,36,65.8%
2024,37,65.8%
2024,38,65.8%
2024,39,65.8%
2024,40,65.8%
2024,41,61.3%
2024,42,61.3%
2024,43,61.3%
2024,44,61.3%
2024,45,57.7%
2024,46,57.7%
2024,47,57.7%
2024,48,57.7%
2024,49,55.2%
2024,50,55.2%
2024,51,55.2%
2024,52,55.2%
2024,52,55.2%
2025,1,55.2%
2025,2,47.1%
2025,3,47.1%
2025,4,47.1%
2025,5,47.1%
2025,6,64.6%
2025,7,64.6%
2025,8,64.6%
2025,9,64.6%
2025,10,61.7%
2025,11,61.7%
2025,12,61.7%
2025,13,61.7%
