Metric,Customer Type,Year Type,32,33,34,35,36,37,38,39
Contribution,New Customers,Current Year,289735,261685,247488,208719,216394,170271,151883,221509
Contribution,New Customers,Last Year,101319,92821,125662,99221,139353,35835,77481,62115
Contribution,Returning Customers,Current Year,516123,483227,369895,429548,435809,379246,371469,543507
Contribution,Returning Customers,Last Year,375363,354646,382660,346597,274293,328496,298788,296569
Contribution,Total,Current Year,805858,744911,617382,638268,652203,549517,523352,765016
Contribution,Total,Last Year,476682,447467,508322,445817,413645,364331,376269,358684
Gross Revenue,New Customers,Current Year,486341,454502,376849,312859,325895,255144,231639,338810
Gross Revenue,New Customers,Last Year,504934,450090,487944,414471,349850,280129,285725,320242
Gross Revenue,Returning Customers,Current Year,866348,839285,563238,643871,656339,568281,566534,831322
Gross Revenue,Returning Customers,Last Year,819208,722987,731028,650960,493046,628326,549598,569199
