Gender,Category,51,52,1,2,3,4,5,6,8-Week Avg
Men,Poolwear,(80),(78),(32),(23),136,81,-,8,2
Men,Swimwear,(15),(16),(16),7,49,120,36,272,55
Men,Socks,72,(3),19,34,11,(21),4,15,16
Men,Accessories,-,-,-,-,-,-,-,-,-
Men,T-Shirt,-,-,-,-,-,-,-,-,-
Men,Mobilité,(75),(96),(95),(95),(81),45,64,(8),(43)
Men,Home,34,51,(33),(12),94,1,45,(59),15
Men,Underwear,20,(42),(48),(44),(39),(30),(39),(32),(32)
Men,Tops,124,61,113,119,(4),(1),28,(12),53
Men,Total,47,39,40,37,46,33,24,45,24
Women,Home,-,-,-,-,-,-,-,-,-
Women,Swimwear,-,-,-,-,-,-,-,-,-
Women,Socks,-,-,-,-,-,17,(76),(81),(17)
Women,Tops,54,(48),96,106,9,69,(36),(35),27
Women,Underwear,34,(42),(38),(50),(35),(21),(37),(10),(25)
Women,Total,18,18,27,31,9,21,30,25,14
,Grand Total,32,28,34,34,28,27,27,35,19
