Year,Metric,51,52,1,2,3,4,5,6
Last Year,ACCESSORIES,0,0,0,0,0,0,0,0
Current Year,ACCESSORIES,0,0,0,0,0,0,0,0
Last Year,HOME,52,98,268,244,80,25,18,39
Current Year,HOME,69,147,179,215,154,25,26,16
Last Year,MOBILITÉ,68,190,373,378,112,11,12,8
Current Year,MOBILITÉ,17,8,17,17,21,17,20,7
Last Year,SOCKS,23,30,40,30,35,39,54,36
Current Year,SOCKS,40,30,48,41,39,31,57,41
Last Year,Swim & Pool,96,182,297,312,125,43,49,34
Current Year,Swim & Pool,71,122,233,305,201,94,78,94
Last Year,T-SHIRT,0,0,0,0,0,0,0,0
Current Year,T-SHIRT,0,0,0,0,0,0,0,0
Last Year,TOPS,145,239,286,252,288,198,181,177
Current Year,TOPS,323,385,609,552,277,196,231,156
Last Year,UNDERWEAR,475,943,974,833,749,430,453,445
Current Year,UNDERWEAR,570,544,510,463,455,303,276,301
