,current_week,last_week,last_year,year_2023
Online Gross Revenue,"1,170",798,889,"1,010"
Returns,48,75,49,98
Return rate %,4.1 %,9.4 %,5.6 %,9.7 %
Online Net Revenue,"1,122",723,840,912
Retail Concept Store,78,54,96,88
"Retail Pop-ups, Outlets",0,0,0,0
Retail Net Revenue,78,54,96,88
Wholesale Net Revenue,0,0,19,0
Total Net Revenue,"1,201",778,956,"1,000"
Returning Customers,473,297,309,361
New Customers,203,148,186,276
Marketing Spend,0,0,197,294
Online Cost of Sale (CoS),0.0 %,0.0 %,22.2 %,29.1 %
