Rank,Gender,Category,Product,Color,Gross Revenue,Sales Qty,SOB%
1,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,38263.459578384885,46,4.754829945898785
2,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,34134.82278643236,22,4.241782613785488
3,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,33938.06295766667,11,4.217332144949848
4,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,25748.381583333332,15,3.1996368639918433
5,MEN,UNDERWEAR,3 X BOXER BRIEFS,STEEL BLUE,25139.437848715595,39,3.1239661343549585
6,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,23229.122523285714,29,2.88657974494979
7,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,22939.123166233334,32,2.850542814614746
8,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,22261.796987,26,2.7663745027149202
9,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,21495.326275,10,2.6711285961965583
10,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,21125.324429,27,2.6251501123693286
11,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,16972.9903875,11,2.1091580284477702
12,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,WHITE,16770.889271666667,7,2.084043821623494
13,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,14914.6270064,17,1.8533743656049952
14,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,14484.375699166667,16,1.7999089491884719
15,MEN,TOPS,2 X RIB TANK TOP,WHITE,13733.77033,8,1.70663455826324
16,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK,13388.7157625,6,1.663756161782725
17,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK+STEEL BLUE+WHITE,12833.987926666667,15,1.5948226007637425
18,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,WHITE,12833.201683333333,7,1.5947248978015094
19,MEN,UNDERWEAR,6 X BOXER TRUNKS,BLACK,12349.660691666668,7,1.5346374093051725
20,MEN,TOPS,MIDWEIGHT T-SHIRT,STEEL BLUE,11455.698995,16,1.4235487651356749
Top 20 Total,,,,,408012.7758889519,367,50.70193303174306
Grand Total,,,,,804728.2450424652,879,100.0
