Rank,Gender,Category,Product,Color,Gross Revenue,Sales Qty,SOB%
1,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,19352.903581634884,21,6.41%
2,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,18700.939398333336,11,6.20%
3,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,12925.487432666667,4,4.28%
4,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,12295.7075515,16,4.07%
5,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,9683.2974425,6,3.21%
6,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,7949.1979163999995,9,2.63%
7,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK+STEEL BLUE+WHITE,7551.00536,9,2.50%
8,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,7491.498677333333,9,2.48%
9,MEN,UNDERWEAR,WOOL BOXER BRIEF,BLACK,7233.69657,13,2.40%
10,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,6659.27686,10,2.21%
11,MEN,TOPS,T-SHIRT HEAVYWEIGHT,BLACK,6311.70201,8,2.09%
12,MEN,UNDERWEAR,3 X BOXER TRUNKS,BLACK,5359.571261666667,6,1.78%
13,MEN,TOPS,2 X RIB TANK TOP,WHITE,5079.129704999999,3,1.68%
14,MEN,TOPS,RIB TANK TOP,OFF BLACK,5078.711165,5,1.68%
15,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,WHITE,5069.2964,3,1.68%
16,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,4990.947226666667,5,1.65%
17,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,WHITE,4973.61336,3,1.65%
18,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,4673.601662257576,11,1.55%
19,MEN,SWIMWEAR,SWIM BRIEFS,BLACK,4647.36927,4,1.54%
20,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,4457.855543333333,4,1.48%
Top 20 Total,,,,,160484.80839429243,160,53.18%
Grand Total,,,,,301760.03166436916,335,100.00%
