Rank,Gender,Category,Product,Color,Gross Revenue,Sales Qty,SOB%
1,MEN,UNDERWEAR,3 X BOXER BRIEFS,STEEL BLUE,22696.394805,36,3.97%
2,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,22639.469558333334,13,3.96%
3,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,21012.575525,7,3.68%
4,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,19401.739208333332,9,3.40%
5,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,19162.888355000003,22,3.35%
6,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,18910.55599675,25,3.31%
7,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,16279.846306233334,22,2.85%
8,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,15737.623845952381,20,2.75%
9,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,15433.883388099028,11,2.70%
10,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,WHITE,13844.231771666668,6,2.42%
11,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK,11408.358875,5,2.00%
12,MEN,MOBILITÉ,3 X PERFORMANCE BOXER BRIEFS,BLACK,10789.8112575,11,1.89%
13,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,10733.759245000001,12,1.88%
14,MEN,UNDERWEAR,6 X BOXER TRUNKS,BLACK,10437.660258333333,6,1.83%
15,MEN,UNDERWEAR,3 X BOXER SHORTS,WHITE,9984.949566666666,12,1.75%
16,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,9493.4284725,11,1.66%
17,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,WHITE,9292.645995,10,1.63%
18,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,8829.6168775,11,1.55%
19,MEN,TOPS,2 X RIB TANK TOP,WHITE,8654.640625,5,1.51%
20,MEN,TOPS,MIDWEIGHT T-SHIRT,STEEL BLUE,8261.382678333333,12,1.45%
Top 20 Total,,,,,283005.4626112014,266,49.53%
Grand Total,,,,,571352.1193215717,640,100.00%
