Rank,Gender,Category,Product,Color,Gross Revenue,Sales Qty,SOB%
1,WOMEN,TOPS,2 X WOMEN'S T-SHIRT MIDWEIGHT,WHITE+BLACK,4231.769615,3,10.9%
2,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,BLACK,4023.0,5,10.4%
3,WOMEN,TOPS,2 X WOMEN'S RIB TANK TOP,WHITE,3183.51299,2,8.2%
4,WOMEN,TOPS,WOMEN'S T-SHIRT HEAVYWEIGHT,WHITE,2999.507965,3,7.7%
5,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,WHITE,2079.0,2,5.4%
6,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,BLACK,2029.6982275999999,2,5.2%
7,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,WHITE,1984.4706700000002,2,5.1%
8,WOMEN,TOPS,WOMEN'S RIB TANK TOP,WHITE,1766.2961,2,4.6%
9,WOMEN,UNDERWEAR,3 X THONG,BLACK,1756.0886500000001,2,4.5%
10,WOMEN,SWIMWEAR,BIKINI BRIEFS,BLACK,1627.8615399999999,2,4.2%
11,WOMEN,UNDERWEAR,3 X STRING THONG,BLACK,1474.251,2,3.8%
12,WOMEN,TOPS,LIGHTWEIGHT SHORT SLEEVE DRESS,BLACK,1454.13331,2,3.7%
13,WOMEN,TOPS,W-LW T-SHIRT,BLACK,1448.296875,2,3.7%
14,WOMEN,TOPS,2 X WOMEN'S RIB TANK TOP,OFF BLACK,1188.0,1,3.1%
15,WOMEN,SWIMWEAR,TRIANGLE BIKINI BRALETTE,BLACK,1040.0,1,2.7%
16,WOMEN,UNDERWEAR,SCOOP BRALETTE,BLACK,993.2271858,1,2.6%
17,WOMEN,UNDERWEAR,3 X STRING THONG,WHITE,964.251,1,2.5%
18,WOMEN,UNDERWEAR,Y-BRIEFS,BLACK,943.2045,2,2.4%
19,WOMEN,TOPS,W-RIB T-SHIRT,WHITE,816.06017,1,2.1%
20,WOMEN,TOPS,W-RIB T-SHIRT,OFF BLACK,816.06017,1,2.1%
Top 20 Total,,,,,36818.689968399995,39,94.9%
Grand Total,,,,,38803.54269673333,45,100.0%
