Market,Gross_Revenue,Returns_Received,Return Rate (%)
(Unknown),0.0,0.0,
-,242478.90077,0.0,0.0
AD,6479.4143699999995,0.0,0.0
AE,1331893.947983,25452.3625906,1.91
AL,3397.5784999999996,0.0,0.0
AM,5821.35375,0.0,0.0
AR,2492.7675,0.0,0.0
AT,1104892.755571,75228.8107117,6.81
AU,2684476.8429992,46002.9829392,1.71
AX,1429.60781,0.0,0.0
AZ,10095.04184,0.0,0.0
BA,0.0,0.0,
BB,0.0,0.0,
BD,0.0,0.0,
BE,938706.4638388,21621.0151863,2.3
BG,31942.695775,0.0,0.0
BH,37420.2601,0.0,0.0
BL,2252.34,0.0,0.0
BM,1621.6435,0.0,0.0
BN,0.0,0.0,
BO,0.0,0.0,
BR,28866.88719,2201.2933199999998,7.63
BRAND,0.0,0.0,
BS,0.0,0.0,
BY,0.0,0.0,
CA,2916193.5920495,348757.8714427,11.96
CH,1827060.5751033,65887.6442291,3.61
CI,1585.7623200000003,0.0,0.0
CL,3273.4449,0.0,0.0
CN,150728.111133,96616.562333,64.1
CO,8163.528060000001,0.0,0.0
CR,0.0,0.0,
CY,83837.595655,3277.2935297999998,3.91
CZ,404661.824385,14708.1060782,3.63
DE,6697538.4120504,464249.4480659,6.93
DK,983066.3469429,44724.1905061,4.55
DO,1106.9568,0.0,0.0
DZ,1045.035,0.0,0.0
EC,1131.2219075,0.0,0.0
EE,107608.481374,6632.9106328,6.16
EG,1930.5539999999996,0.0,0.0
ES,1069854.4758956,71863.0630286,6.72
FI,496759.920308,23716.4511717,4.77
FJ,0.0,0.0,
FK,0.0,0.0,
FR,3005586.2777531,424943.3388035,14.14
GB,10963002.541251583,1426773.6519014167,13.01
GE,4671.7497459999995,0.0,0.0
GG,5165.9515,0.0,0.0
GH,0.0,0.0,
GI,6886.44,0.0,0.0
GP,0.0,0.0,
GR,860194.943812,38930.7884417,4.53
GT,4569.84295,0.0,0.0
HK,1683424.3432770001,331162.0558267,19.67
HR,75649.84075999999,1811.8177684000002,2.4
HU,52402.481055000004,2396.5769762,4.57
ID,4157.5475,0.0,0.0
IE,350472.4381654,22322.8818264,6.37
IL,157953.3477855,677.2674999999999,0.43
IM,3119.64744,0.0,0.0
IN,39954.151990800005,0.0,0.0
IS,71047.7167,0.0,0.0
IT,3246071.5394498,963612.8699033,29.69
JE,29642.6705,6228.343618,21.01
JO,3029.67,0.0,0.0
JP,335387.11277,5672.350781,1.69
KE,0.0,0.0,
KH,0.0,0.0,
KR,230488.44375,2892.7401600000003,1.26
KW,174756.47629,629.390016,0.36
KY,3358.1092999999996,0.0,0.0
KZ,0.0,0.0,
LA,0.0,0.0,
LB,0.0,0.0,
LI,6333.46161,0.0,0.0
LK,0.0,0.0,
LT,260326.477373,9563.9655164,3.67
LU,134812.862178,8382.681428499998,6.22
LV,79233.8546087,1212.7126039999998,1.53
MA,0.0,0.0,
MC,52859.799225,0.0,0.0
MD,2826.8154999999997,0.0,0.0
ME,10656.0332,0.0,0.0
MK,0.0,0.0,
MM,11390.58224,0.0,0.0
MO,35140.10254,0.0,0.0
MQ,0.0,0.0,
MT,57523.699256,1764.1904728,3.07
MV,0.0,0.0,
MX,212121.103615,0.0,0.0
MY,40090.25673,0.0,0.0
NC,0.0,0.0,
NG,0.0,0.0,
NL,1830837.8810274,149081.902024,8.14
NO,529735.5698134,26028.0642058,4.91
NZ,102291.297855,0.0,0.0
OM,0.0,0.0,
PA,0.0,0.0,
PE,0.0,0.0,
PF,1721.925,0.0,0.0
PH,17465.96055,0.0,0.0
PK,9243.678,0.0,0.0
PL,297738.274943,17090.785394,5.74
PR,0.0,0.0,
PS,0.0,0.0,
PT,327672.398332,20094.2095492,6.13
PY,10088.831,0.0,0.0
QA,138193.68694,0.0,0.0
RE,4369.886,0.0,0.0
RO,73453.018121,2906.33004,3.96
RS,7344.00852,0.0,0.0
RU,0.0,0.0,
RW,0.0,0.0,
Rest of world,0.0,0.0,
SA,171996.35605,1380.181872,0.8
SC,1992.176,0.0,0.0
SE,19238261.8390206,1363149.1533677,7.09
SG,474177.0947344,14279.1291356,3.01
SI,78679.774592,2101.0853679,2.67
SK,76207.240638,15879.2001006,20.84
SM,10802.07906,0.0,0.0
SN,2653.625,0.0,0.0
ST,0.0,0.0,
SV,1460.57892,0.0,0.0
SZ,0.0,0.0,
TH,12488.9785,0.0,0.0
TJ,2992.29878,0.0,0.0
TN,3116.745,0.0,0.0
TR,539641.693296,10272.2108195,1.9
TT,0.0,0.0,
TW,213953.70716679998,5822.221461,2.72
UA,309635.16190999997,10568.7,3.41
UM,55305.71643,0.0,0.0
US,27775217.5479078,1877495.627603,6.76
UZ,1732.95,0.0,0.0
VG,0.0,0.0,
VN,860.047605,0.0,0.0
ZA,51536.756700000005,0.0,0.0
ZM,5280.0,0.0,0.0
