Gender,Product Category,Year Type,32,33,34,35,36,37,38,39
WOMEN,ACCESSORIES,Current Year,4709.0,5699.0,1095.0,981.0,1280.0,1869.0,2979.0,12459.0
WOMEN,ACCESSORIES,Last Year,1400.0,6470.0,0.0,1791.0,1353.0,0.0,0.0,1773.0
WOMEN,DRESSES,Current Year,1029.0,1198.0,0.0,0.0,0.0,1472.0,0.0,17.0
WOMEN,DRESSES,Last Year,0.0,1548.0,1818.0,3010.0,1430.0,0.0,0.0,1315.0
WOMEN,SOCKS,Current Year,14758.0,29496.0,21132.0,12922.0,22723.0,20810.0,21590.0,22696.0
WOMEN,SOCKS,Last Year,18398.0,12094.0,16171.0,16657.0,22770.0,20725.0,18838.0,14099.0
WOMEN,SWIM,Current Year,3483.0,5849.0,0.0,2105.0,2771.0,2155.0,0.0,3259.0
WOMEN,SWIM,Last Year,33207.0,16049.0,9455.0,793.0,4440.0,1410.0,2091.0,609.0
WOMEN,TOPS,Current Year,13488.0,17796.0,4248.0,17435.0,19543.0,14294.0,10103.0,23330.0
WOMEN,TOPS,Last Year,14814.0,16143.0,11095.0,3607.0,14342.0,11598.0,14029.0,16979.0
WOMEN,UNDERWEAR,Current Year,32789.0,16704.0,16894.0,21603.0,40578.0,23706.0,36644.0,39110.0
WOMEN,UNDERWEAR,Last Year,53778.0,41246.0,27847.0,75665.0,25270.0,22217.0,22773.0,34205.0
