,ytd_last_year,ytd_two_years,budget,budget_vs_last_year
Online Gross Revenue,2.0%,(16.7%),-,-
Returns,(16.4%),(48.8%),-,-
Return rate %,(17.5%),(38.5%),-,-
Online Net Revenue,4.0%,(11.9%),-,-
Retail Concept Store,-,-,-,-
"Retail Pop-ups, Outlets",-,-,-,-
Retail Net Revenue,(12.1%),(25.1%),-,-
Wholesale Net Revenue,79.3%,7599.2%,-,-
Total Net Revenue,-,-,-,-
Returning Customers,5.2%,(2.5%),-,-
New Customers,(5.1%),(26.6%),-,-
Marketing Spend,(91.5%),(93.6%),-,-
Online Cost of Sale (CoS),(91.7%),(92.3%),-,-
