,ytd_current_month,ytd_last_year,ytd_two_years,Budget(1)
Online Gross Revenue,"34,216","33,534","41,078",-
Returns,"2,726","3,261","5,325",-
Return rate %,8.0%,9.7%,13.0%,-
Online Net Revenue,"31,490","30,273","35,752",-
Retail Concept Store,-,-,-,-
"Retail Pop-ups, Outlets",-,-,-,-
Retail Net Revenue,"2,640","3,004","3,523",-
Wholesale Net Revenue,"4,536","2,530",59,-
Total Net Revenue,-,-,-,-
Returning Customers,8799,8361,9026,-
New Customers,7273,7667,9902,-
Marketing Spend,542,"6,394","8,485",-
Online Cost of Sale (CoS),1.6%,19.1%,20.7%,-
