Market,Date,Total Spend
AT,2024-01-22,9.84
CA,2024-01-22,78.42
DK,2024-01-22,42.4
FI,2024-01-22,8.48
FR,2024-01-22,396.61
DE,2024-01-22,542.46
GR,2024-01-22,0.0
HK,2024-01-22,28.9
IE,2024-01-22,20.52
IT,2024-01-22,128.47
NL,2024-01-22,31.62
SG,2024-01-22,26.59
ES,2024-01-22,2.09
SE,2024-01-22,1504.25
AE,2024-01-22,19.06
GB,2024-01-22,1007.13
US,2024-01-22,1829.35
AU,2024-01-23,99.91
AT,2024-01-23,12.68
CA,2024-01-23,62.17
DK,2024-01-23,100.64
FI,2024-01-23,10.69
FR,2024-01-23,537.48
DE,2024-01-23,425.1
GR,2024-01-23,0.0
HK,2024-01-23,34.7
IE,2024-01-23,11.53
IT,2024-01-23,35.54
NL,2024-01-23,104.62
SG,2024-01-23,12.79
ES,2024-01-23,59.44
SE,2024-01-23,1640.22
AE,2024-01-23,0.0
GB,2024-01-23,1301.5
US,2024-01-23,1527.52
AU,2024-01-24,52.63
AT,2024-01-24,8.25
CA,2024-01-24,78.31
DK,2024-01-24,21.51
FI,2024-01-24,31.43
FR,2024-01-24,253.11
DE,2024-01-24,225.02
GR,2024-01-24,0.0
HK,2024-01-24,21.72
IE,2024-01-24,107.65
IT,2024-01-24,168.22
NL,2024-01-24,186.59
SG,2024-01-24,39.89
ES,2024-01-24,5.85
SE,2024-01-24,2579.53
AE,2024-01-24,40.62
GB,2024-01-24,1080.51
US,2024-01-24,1470.3
AU,2024-01-25,102.55
AT,2024-01-25,27.57
CA,2024-01-25,69.55
DK,2024-01-25,127.09
FI,2024-01-25,25.69
FR,2024-01-25,308.28
DE,2024-01-25,796.71
GR,2024-01-25,1.15
HK,2024-01-25,87.51
IE,2024-01-25,2.19
IT,2024-01-25,61.09
NL,2024-01-25,68.72
SG,2024-01-25,43.76
ES,2024-01-25,2.82
SE,2024-01-25,1339.87
AE,2024-01-25,70.6
GB,2024-01-25,1138.1
US,2024-01-25,1510.72
AU,2024-01-26,221.65
AT,2024-01-26,7.83
CA,2024-01-26,45.02
DK,2024-01-26,42.3
FI,2024-01-26,0.0
FR,2024-01-26,307.82
DE,2024-01-26,446.33
GR,2024-01-26,12.64
HK,2024-01-26,0.1
IE,2024-01-26,101.22
IT,2024-01-26,48.99
NL,2024-01-26,252.36
SG,2024-01-26,3.76
ES,2024-01-26,0.21
SE,2024-01-26,1351.52
AE,2024-01-26,58.6
GB,2024-01-26,829.67
US,2024-01-26,1369.8
AU,2024-01-27,98.08
AT,2024-01-27,6.37
CA,2024-01-27,85.02
DK,2024-01-27,4.18
FI,2024-01-27,10.97
FR,2024-01-27,280.35
DE,2024-01-27,322.86
GR,2024-01-27,1.36
HK,2024-01-27,43.03
IE,2024-01-27,197.31
IT,2024-01-27,131.3
NL,2024-01-27,26.01
SG,2024-01-27,104.77
ES,2024-01-27,0.1
SE,2024-01-27,1024.89
AE,2024-01-27,0.0
GB,2024-01-27,773.06
US,2024-01-27,1527.84
AU,2024-01-28,86.28
AT,2024-01-28,8.8
CA,2024-01-28,186.16
DK,2024-01-28,97.9
FI,2024-01-28,17.28
FR,2024-01-28,202.18
DE,2024-01-28,331.28
GR,2024-01-28,3.98
HK,2024-01-28,25.97
IE,2024-01-28,15.81
IT,2024-01-28,14.87
NL,2024-01-28,486.87
SG,2024-01-28,128.05
ES,2024-01-28,2.83
SE,2024-01-28,1048.4
AE,2024-01-28,140.41
GB,2024-01-28,1173.84
US,2024-01-28,2237.95
AL,2024-01-22,3.66
AD,2024-01-22,2.93
AG,2024-01-22,0.84
AW,2024-01-22,0.52
AU,2024-01-22,882.22
AT,2024-01-22,396.19
AZ,2024-01-22,0.63
