ISO Week,Category,Gross Revenue (ex. VAT)
6,-,256680.26
6,UNDERWEAR,339231.5
6,TOPS,169057.99
6,MOBILITÉ,6920.0
6,SWIMWEAR,89384.2
6,SOCKS,56481.65
6,POOLWEAR,13383.82
6,HOME,16153.27
6,ACCESSORIES,0.0
6,T-SHIRT,0.0
5,-,250764.08
5,UNDERWEAR,306770.46
5,TOPS,246122.06
5,MOBILITÉ,19649.8
5,SWIMWEAR,74203.59
5,SOCKS,74166.71
5,POOLWEAR,11741.55
5,HOME,26465.41
5,ACCESSORIES,0.0
5,T-SHIRT,0.0
4,-,172487.09
4,UNDERWEAR,340783.63
4,TOPS,224905.6
4,MOBILITÉ,16554.72
4,SWIMWEAR,95809.41
4,SOCKS,53173.4
4,POOLWEAR,4926.58
4,HOME,25246.65
4,ACCESSORIES,0.0
4,T-SHIRT,0.0
3,-,132335.18
3,UNDERWEAR,508039.99
3,TOPS,309961.32
3,MOBILITÉ,21310.53
3,SWIMWEAR,171466.08
3,SOCKS,102262.14
3,POOLWEAR,40440.04
3,HOME,154387.07
3,ACCESSORIES,0.0
3,T-SHIRT,0.0
2,-,88471.26
2,UNDERWEAR,525511.19
2,TOPS,594576.13
2,MOBILITÉ,17497.14
2,SWIMWEAR,243536.24
2,SOCKS,118309.22
2,POOLWEAR,72445.12
2,HOME,217444.73
2,ACCESSORIES,0.0
2,T-SHIRT,0.0
1,-,130389.18
1,UNDERWEAR,579602.37
1,TOPS,647208.66
1,MOBILITÉ,17015.19
1,SWIMWEAR,175650.7
1,SOCKS,131085.49
1,POOLWEAR,64938.71
1,HOME,182530.41
1,ACCESSORIES,0.0
1,T-SHIRT,0.0
52,-,102016.57
52,UNDERWEAR,579860.12
52,TOPS,392344.86
52,MOBILITÉ,7724.87
52,SWIMWEAR,115879.12
52,SOCKS,67361.69
52,POOLWEAR,11088.68
52,HOME,147005.69
52,ACCESSORIES,0.0
52,T-SHIRT,0.0
51,-,146496.05
51,UNDERWEAR,634290.01
51,TOPS,338840.13
51,MOBILITÉ,16932.96
51,SWIMWEAR,69665.25
51,SOCKS,86168.91
51,POOLWEAR,3505.63
51,HOME,70183.48
51,ACCESSORIES,0.0
51,T-SHIRT,0.0
6,-,689.47
6,UNDERWEAR,486959.99
6,TOPS,197088.43
6,MOBILITÉ,7552.72
6,SWIMWEAR,21573.79
6,SOCKS,78389.35
6,POOLWEAR,12349.02
6,HOME,39110.02
6,ACCESSORIES,0.0
6,T-SHIRT,0.0
5,-,0.0
5,UNDERWEAR,502517.81
5,TOPS,204900.55
5,MOBILITÉ,11965.17
5,SWIMWEAR,49088.31
5,SOCKS,92617.5
5,POOLWEAR,0.0
5,HOME,18307.86
5,ACCESSORIES,0.0
5,T-SHIRT,0.0
4,-,0.0
4,UNDERWEAR,477634.71
4,TOPS,215026.86
4,MOBILITÉ,11429.8
4,SWIMWEAR,40515.73
4,SOCKS,67254.92
4,POOLWEAR,2719.47
4,HOME,25019.4
4,ACCESSORIES,0.0
4,T-SHIRT,0.0
3,-,0.0
3,UNDERWEAR,829547.1
3,TOPS,317518.8
3,MOBILITÉ,112212.91
3,SWIMWEAR,108097.18
3,SOCKS,83936.44
3,POOLWEAR,17126.77
3,HOME,79516.63
3,ACCESSORIES,0.0
3,T-SHIRT,0.0
2,-,0.0
2,UNDERWEAR,957150.13
2,TOPS,273069.89
2,MOBILITÉ,377714.04
2,SWIMWEAR,217676.11
2,SOCKS,57962.96
2,POOLWEAR,94223.9
2,HOME,243650.39
2,ACCESSORIES,0.0
2,T-SHIRT,0.0
1,-,0.0
1,UNDERWEAR,1084729.48
1,TOPS,305688.06
1,MOBILITÉ,372547.56
1,SWIMWEAR,201195.53
1,SOCKS,70077.93
1,POOLWEAR,95988.79
1,HOME,267891.55
1,ACCESSORIES,0.0
1,T-SHIRT,0.0
52,-,0.0
52,UNDERWEAR,1005675.83
52,TOPS,252207.9
52,MOBILITÉ,190285.46
52,SWIMWEAR,131311.22
52,SOCKS,63403.72
52,POOLWEAR,50940.45
52,HOME,97553.58
52,ACCESSORIES,0.0
52,T-SHIRT,0.0
51,-,0.0
51,UNDERWEAR,522330.76
51,TOPS,154663.87
51,MOBILITÉ,68001.21
51,SWIMWEAR,78660.15
51,SOCKS,49839.53
51,POOLWEAR,17384.98
51,HOME,51523.13
51,ACCESSORIES,0.0
51,T-SHIRT,0.0
