Year Type,Calendar Year,ISO Week,Metric,Customer Type,Value
Current Year,2025,39,Contribution,Total,765016.49
Current Year,2025,39,Contribution,Returning Customers,543507.38
Current Year,2025,39,Gross Revenue,New Customers,338809.7660961
Current Year,2025,39,Gross Revenue,Returning Customers,831322.4317773
Current Year,2025,39,Contribution,New Customers,221509.11
Current Year,2025,38,Gross Revenue,Returning Customers,566534.4534364
Current Year,2025,38,Contribution,New Customers,151883.13
Current Year,2025,38,Contribution,Returning Customers,371469.33
Current Year,2025,38,Contribution,Total,523352.46
Current Year,2025,38,Gross Revenue,New Customers,231638.6102749
Current Year,2025,37,Gross Revenue,New Customers,255143.50863700002
Current Year,2025,37,Contribution,New Customers,170271.01
Current Year,2025,37,Contribution,Returning Customers,379246.1
Current Year,2025,37,Contribution,Total,549517.11
Current Year,2025,37,Gross Revenue,Returning Customers,568281.4323843999
Current Year,2025,36,Gross Revenue,New Customers,325894.7736127
Current Year,2025,36,Gross Revenue,Returning Customers,656338.9015232001
Current Year,2025,36,Contribution,New Customers,216393.78
Current Year,2025,36,Contribution,Returning Customers,435809.08
Current Year,2025,36,Contribution,Total,652202.86
Current Year,2025,35,Contribution,New Customers,208719.47
Current Year,2025,35,Contribution,Returning Customers,429548.26
Current Year,2025,35,Contribution,Total,638267.73
Current Year,2025,35,Gross Revenue,New Customers,312859.16073699994
Current Year,2025,35,Gross Revenue,Returning Customers,643871.4449076001
Current Year,2025,34,Gross Revenue,New Customers,376848.6845447
Current Year,2025,34,Gross Revenue,Returning Customers,563238.2333171
Current Year,2025,34,Contribution,New Customers,247487.92
Current Year,2025,34,Contribution,Returning Customers,369894.54
Current Year,2025,34,Contribution,Total,617382.46
Current Year,2025,33,Gross Revenue,New Customers,454502.3890358
Current Year,2025,33,Gross Revenue,Returning Customers,839284.8145089909
Current Year,2025,33,Contribution,New Customers,261684.51
Current Year,2025,33,Contribution,Returning Customers,483226.76
Current Year,2025,33,Contribution,Total,744911.28
Current Year,2025,32,Contribution,Total,805857.61
Current Year,2025,32,Gross Revenue,Returning Customers,866348.4588324999
Current Year,2025,32,Contribution,New Customers,289734.89
Current Year,2025,32,Gross Revenue,New Customers,486341.01157980005
Current Year,2025,32,Contribution,Returning Customers,516122.72
Last Year,2024,39,Gross Revenue,New Customers,320242.3720225
Last Year,2024,32,Contribution,New Customers,101318.88
Last Year,2024,36,Gross Revenue,Returning Customers,493045.8393224
Last Year,2024,36,Gross Revenue,New Customers,349849.5333633
Last Year,2024,37,Contribution,Total,364330.64
Last Year,2024,37,Contribution,Returning Customers,328496.01
Last Year,2024,37,Contribution,New Customers,35834.64
Last Year,2024,37,Gross Revenue,Returning Customers,628326.1088951
Last Year,2024,37,Gross Revenue,New Customers,280129.41484920005
Last Year,2024,36,Contribution,New Customers,139352.61
Last Year,2024,38,Contribution,Total,376268.78
Last Year,2024,38,Contribution,New Customers,77480.59
Last Year,2024,38,Gross Revenue,Returning Customers,549597.9642455999
Last Year,2024,38,Gross Revenue,New Customers,285724.5055753
Last Year,2024,39,Contribution,Total,358684.39
Last Year,2024,39,Contribution,Returning Customers,296569.18
Last Year,2024,39,Contribution,New Customers,62115.21
Last Year,2024,39,Gross Revenue,Returning Customers,569199.1781192
Last Year,2024,38,Contribution,Returning Customers,298788.19
Last Year,2024,32,Contribution,Returning Customers,375363.36
Last Year,2024,36,Contribution,Returning Customers,274292.74
Last Year,2024,35,Gross Revenue,New Customers,414471.4322
Last Year,2024,32,Gross Revenue,Returning Customers,819208.1268527999
Last Year,2024,32,Gross Revenue,New Customers,504934.3574183
Last Year,2024,33,Contribution,Total,447467.42
Last Year,2024,33,Contribution,Returning Customers,354645.95
Last Year,2024,33,Contribution,New Customers,92821.47
Last Year,2024,33,Gross Revenue,Returning Customers,722987.091981
Last Year,2024,33,Gross Revenue,New Customers,450089.6108214
Last Year,2024,36,Contribution,Total,413645.35
Last Year,2024,34,Contribution,Total,508322.07
Last Year,2024,34,Contribution,New Customers,125661.66
Last Year,2024,34,Gross Revenue,Returning Customers,731028.2628759001
Last Year,2024,34,Gross Revenue,New Customers,487944.26568179997
Last Year,2024,35,Contribution,Total,445817.46
Last Year,2024,35,Contribution,Returning Customers,346596.84
Last Year,2024,35,Contribution,New Customers,99220.62
Last Year,2024,35,Gross Revenue,Returning Customers,650960.1660257
Last Year,2024,34,Contribution,Returning Customers,382660.4
Last Year,2024,32,Contribution,Total,476682.24
