ISO Week,Gender,Category,Current Year Revenue,Last Year Revenue,Growth (%)
6,Men,Underwear,301328.23,444929.73,-32.28
6,Men,Tops,155960.65,176938.9,-11.86
6,Men,Mobilité,6920.0,7552.72,-8.38
6,Men,Swimwear,80201.77,21573.79,271.76
6,Men,Socks,40942.53,35647.08,14.86
6,Men,Poolwear,13383.82,12349.02,8.38
6,Men,Home,16153.27,39110.02,-58.7
6,Men,Accessories,0.0,0.0,0.0
6,Men,T-Shirt,0.0,0.0,0.0
5,Men,Underwear,275666.32,453068.96,-39.16
5,Men,Tops,230580.26,180769.82,27.55
5,Men,Mobilité,19649.8,11965.17,64.22
5,Men,Swimwear,66513.76,49088.31,35.5
5,Men,Socks,56503.33,54330.48,4.0
5,Men,Poolwear,11741.55,0.0,0.0
5,Men,Home,26465.41,18307.86,44.56
5,Men,Accessories,0.0,0.0,0.0
5,Men,T-Shirt,0.0,0.0,0.0
4,Men,Underwear,302904.37,429770.11,-29.52
4,Men,Tops,195506.48,197637.65,-1.08
4,Men,Mobilité,16554.72,11429.8,44.84
4,Men,Swimwear,89159.61,40515.73,120.06
4,Men,Socks,31045.32,39275.25,-20.95
4,Men,Poolwear,4926.58,2719.47,81.16
4,Men,Home,25246.65,25019.4,0.91
4,Men,Accessories,0.0,0.0,0.0
4,Men,T-Shirt,0.0,0.0,0.0
3,Men,Underwear,455378.9,749130.82,-39.21
3,Men,Tops,277384.06,287616.12,-3.56
3,Men,Mobilité,21310.53,112212.91,-81.01
3,Men,Swimwear,160564.59,108097.18,48.54
3,Men,Socks,39174.06,35227.93,11.2
3,Men,Poolwear,40440.04,17126.77,136.12
3,Men,Home,154387.07,79516.63,94.16
3,Men,Accessories,0.0,0.0,0.0
3,Men,T-Shirt,0.0,0.0,0.0
2,Men,Underwear,463032.57,832665.89,-44.39
2,Men,Tops,551551.75,252161.27,118.73
2,Men,Mobilité,17497.14,377714.04,-95.37
2,Men,Swimwear,232222.95,217676.11,6.68
2,Men,Socks,40824.3,30385.96,34.35
2,Men,Poolwear,72445.12,94223.9,-23.11
2,Men,Home,215441.78,243650.39,-11.58
2,Men,Accessories,0.0,0.0,0.0
2,Men,T-Shirt,0.0,0.0,0.0
1,Men,Underwear,510206.21,973506.88,-47.59
1,Men,Tops,608941.19,286130.29,112.82
1,Men,Mobilité,17015.19,372547.56,-95.43
1,Men,Swimwear,168549.37,201195.53,-16.23
1,Men,Socks,47994.78,40243.4,19.26
1,Men,Poolwear,64938.71,95988.79,-32.35
1,Men,Home,179031.85,267891.55,-33.17
1,Men,Accessories,0.0,0.0,0.0
1,Men,T-Shirt,0.0,0.0,0.0
52,Men,Underwear,543718.1,943347.33,-42.36
52,Men,Tops,385335.24,238727.83,61.41
52,Men,Mobilité,7724.87,190285.46,-95.94
52,Men,Swimwear,110918.08,131311.22,-15.53
52,Men,Socks,29584.57,30459.65,-2.87
52,Men,Poolwear,11088.68,50940.45,-78.23
52,Men,Home,147005.69,97553.58,50.69
52,Men,Accessories,0.0,0.0,0.0
52,Men,T-Shirt,0.0,0.0,0.0
51,Men,Underwear,570298.62,474589.65,20.17
51,Men,Tops,323289.25,144537.8,123.67
51,Men,Mobilité,16932.96,68001.21,-75.1
51,Men,Swimwear,67140.87,78660.15,-14.64
51,Men,Socks,40174.92,23418.53,71.55
51,Men,Poolwear,3505.63,17384.98,-79.84
51,Men,Home,69143.48,51523.13,34.2
51,Men,Accessories,0.0,0.0,0.0
51,Men,T-Shirt,0.0,0.0,0.0
6,Women,Underwear,37903.27,42030.26,-9.82
6,Women,Tops,13097.34,20149.54,-35.0
6,Women,Socks,2334.49,12224.39,-80.9
6,Women,Home,0.0,0.0,0.0
6,Women,Swimwear,9182.43,0.0,0.0
5,Women,Underwear,31104.14,49448.85,-37.1
5,Women,Tops,15541.8,24130.73,-35.59
5,Women,Socks,2541.29,10531.11,-75.87
5,Women,Home,0.0,0.0,0.0
5,Women,Swimwear,3828.32,0.0,0.0
4,Women,Underwear,37879.26,47864.6,-20.86
4,Women,Tops,29399.12,17389.21,69.07
4,Women,Socks,2597.5,2215.15,17.26
4,Women,Home,0.0,0.0,0.0
4,Women,Swimwear,6649.8,0.0,0.0
3,Women,Underwear,52661.09,80416.28,-34.51
3,Women,Tops,32577.27,29902.68,8.94
3,Women,Socks,9662.1,0.0,0.0
3,Women,Home,0.0,0.0,0.0
3,Women,Swimwear,10901.49,0.0,0.0
2,Women,Underwear,62478.63,124484.24,-49.81
2,Women,Tops,43024.38,20908.62,105.77
2,Women,Socks,2868.23,0.0,0.0
2,Women,Home,2002.94,0.0,0.0
2,Women,Swimwear,9945.03,0.0,0.0
1,Women,Underwear,69396.15,111222.6,-37.61
1,Women,Tops,38267.48,19557.77,95.66
1,Women,Socks,3654.54,0.0,0.0
1,Women,Home,3498.56,0.0,0.0
1,Women,Swimwear,7101.33,0.0,0.0
52,Women,Underwear,36142.01,62328.5,-42.01
52,Women,Tops,7009.62,13480.07,-48.0
52,Women,Socks,1857.19,0.0,0.0
52,Women,Home,0.0,0.0,0.0
52,Women,Swimwear,0.0,0.0,0.0
51,Women,Underwear,63991.39,47741.11,34.04
51,Women,Tops,15550.88,10126.07,53.57
51,Women,Socks,4135.92,0.0,0.0
51,Women,Home,1040.0,0.0,0.0
51,Women,Swimwear,1099.75,0.0,0.0
