ISO Week,Calendar Year,Gender,Category,Current Year Revenue,Last Year Revenue,Growth (%)
10,2025,-,-,4192.566687333334,337170.88638199994,-98.8
10,2025,MEN,HOME,1947.2349960000001,25233.121366,-92.3
10,2025,MEN,MOBILITÉ,0.0,10267.578518,-100.0
10,2025,MEN,POOLWEAR,913.43805,34907.87524666666,-97.4
10,2025,MEN,SOCKS,3945.08479,39153.912751,-89.9
10,2025,MEN,SWIMWEAR,4196.441865,239044.27367266666,-98.2
10,2025,MEN,TOPS,4411.1893787,216706.85965,-98.0
10,2025,MEN,UNDERWEAR,11464.005403,400028.71685533336,-97.1
10,2025,UNISEX,SOCKS,2460.4487316666664,19994.566287,-87.7
10,2025,WOMEN,HOME,0.0,1440.0,-100.0
10,2025,WOMEN,SOCKS,0.0,3506.223795,-100.0
10,2025,WOMEN,SWIMWEAR,756.1776333333335,15780.25759,-95.2
10,2025,WOMEN,TOPS,1551.32808,30477.59519,-94.9
10,2025,WOMEN,UNDERWEAR,1974.51309,27414.958122,-92.8
9,2025,-,-,1375131.7452817324,459770.82937,199.1
9,2025,ACCESSORIES,SWIMWEAR,9800.0,0.0,980000.0
9,2025,KIDS,UNDERWEAR,215.70347,556.8,-61.3
9,2025,MEN,HOME,24667.442246666666,16700.75385,47.7
9,2025,MEN,MOBILITÉ,23117.58584766667,22384.190645,3.3
9,2025,MEN,POOLWEAR,11323.079646666667,16478.661724999998,-31.3
9,2025,MEN,SOCKS,256931.39784663334,48758.47645066667,426.9
9,2025,MEN,SWIMWEAR,232226.6904103307,171650.932727,35.3
9,2025,MEN,TOPS,477226.56197610317,213285.553749,123.8
9,2025,MEN,UNDERWEAR,672286.2073526857,356386.33609033335,88.6
9,2025,UNISEX,SOCKS,50956.969209705596,36623.42342466667,39.1
9,2025,WOMEN,HOME,0.0,2160.0,-100.0
9,2025,WOMEN,SOCKS,22172.680105441177,2778.4855023333334,698.0
9,2025,WOMEN,SWIMWEAR,18299.663671500002,20739.310444666666,-11.8
9,2025,WOMEN,TOPS,170677.24146755884,27577.45925,518.9
9,2025,WOMEN,UNDERWEAR,86911.29575357576,86549.39014,0.4
8,2025,-,-,933880.1598111042,1276596.512693,-26.8
8,2025,ACCESSORIES,SWIMWEAR,10011.77,0.0,1001177.0
8,2025,MEN,HOME,13340.33667,31696.699545,-57.9
8,2025,MEN,MOBILITÉ,29048.217384033334,16970.610345,71.2
8,2025,MEN,POOLWEAR,9663.76890541772,8979.60138,7.6
8,2025,MEN,SOCKS,195342.81523140156,69549.50859166667,180.9
8,2025,MEN,SWIMWEAR,113875.49411333425,167583.86096666666,-32.0
8,2025,MEN,TOPS,275131.38800428296,217607.72875966667,26.4
8,2025,MEN,UNDERWEAR,484000.8282756717,417733.8841188402,15.9
8,2025,UNISEX,SOCKS,22729.26706593218,25402.34332032646,-10.5
8,2025,WOMEN,HOME,0.0,1280.0,-100.0
8,2025,WOMEN,SOCKS,1740.5684933333334,8147.453775283689,-78.6
8,2025,WOMEN,SWIMWEAR,3992.464356851852,27869.952265,-85.7
8,2025,WOMEN,TOPS,203014.80484848146,26099.860071,677.8
8,2025,WOMEN,UNDERWEAR,61691.611876505376,38032.25312471631,62.2
7,2025,-,-,369039.92616000125,1393655.246108,-73.5
7,2025,KIDS,UNDERWEAR,264.0,0.0,26400.0
7,2025,MEN,HOME,27859.782518685715,68933.66170985714,-59.6
7,2025,MEN,MOBILITÉ,15951.8298475,8060.4826539999995,97.9
7,2025,MEN,POOLWEAR,6631.26374,21494.838624999997,-69.1
7,2025,MEN,SOCKS,84876.51534715583,43436.06945233334,95.4
7,2025,MEN,SWIMWEAR,88980.96740517377,37635.033418666666,136.4
7,2025,MEN,TOPS,283929.2259396635,252726.04442647618,12.3
7,2025,MEN,UNDERWEAR,459977.9523782086,420739.9067453077,9.3
7,2025,UNISEX,SOCKS,51472.75647509091,36473.972222000004,41.1
