Year Type,Calendar Year,ISO Week,Gender,Category,Value
Last Year,2024,1,MEN,-,0
Last Year,2024,2,MEN,-,0
Last Year,2024,3,MEN,-,0
Last Year,2024,4,MEN,-,0
Last Year,2024,5,MEN,-,0
Last Year,2024,6,MEN,-,689
Last Year,2024,7,MEN,-,0
Last Year,2024,8,MEN,-,0
Last Year,2024,1,MEN,HOME,267892
Last Year,2024,2,MEN,HOME,243650
Last Year,2024,3,MEN,HOME,79517
Last Year,2024,4,MEN,HOME,25019
Last Year,2024,5,MEN,HOME,18308
Last Year,2024,6,MEN,HOME,39110
Last Year,2024,7,MEN,HOME,65974
Last Year,2024,8,MEN,HOME,21014
Last Year,2024,1,MEN,MOBILITÉ,372548
Last Year,2024,2,MEN,MOBILITÉ,377714
Last Year,2024,3,MEN,MOBILITÉ,112213
Last Year,2024,4,MEN,MOBILITÉ,11430
Last Year,2024,5,MEN,MOBILITÉ,11965
Last Year,2024,6,MEN,MOBILITÉ,7553
Last Year,2024,7,MEN,MOBILITÉ,5500
Last Year,2024,8,MEN,MOBILITÉ,13640
Last Year,2024,1,MEN,POOLWEAR,95989
Last Year,2024,2,MEN,POOLWEAR,94224
Last Year,2024,3,MEN,POOLWEAR,17127
Last Year,2024,4,MEN,POOLWEAR,2719
Last Year,2024,5,MEN,POOLWEAR,0
Last Year,2024,6,MEN,POOLWEAR,12349
Last Year,2024,7,MEN,POOLWEAR,21495
Last Year,2024,8,MEN,POOLWEAR,7420
Last Year,2024,1,MEN,SOCKS,70078
Last Year,2024,2,MEN,SOCKS,57963
Last Year,2024,3,MEN,SOCKS,83936
Last Year,2024,4,MEN,SOCKS,65040
Last Year,2024,5,MEN,SOCKS,82086
Last Year,2024,6,MEN,SOCKS,66165
Last Year,2024,7,MEN,SOCKS,77006
Last Year,2024,8,MEN,SOCKS,62577
Last Year,2024,1,MEN,SWIMWEAR,201196
Last Year,2024,2,MEN,SWIMWEAR,217676
Last Year,2024,3,MEN,SWIMWEAR,108097
Last Year,2024,4,MEN,SWIMWEAR,40516
Last Year,2024,5,MEN,SWIMWEAR,49088
Last Year,2024,6,MEN,SWIMWEAR,21574
Last Year,2024,7,MEN,SWIMWEAR,36235
Last Year,2024,8,MEN,SWIMWEAR,160184
Last Year,2024,1,MEN,TOPS,286130
Last Year,2024,2,MEN,TOPS,252161
Last Year,2024,3,MEN,TOPS,287616
Last Year,2024,4,MEN,TOPS,197638
Last Year,2024,5,MEN,TOPS,180770
Last Year,2024,6,MEN,TOPS,176939
Last Year,2024,7,MEN,TOPS,227126
Last Year,2024,8,MEN,TOPS,182709
Last Year,2024,1,MEN,UNDERWEAR,973507
Last Year,2024,2,MEN,UNDERWEAR,832666
Last Year,2024,3,MEN,UNDERWEAR,749131
Last Year,2024,4,MEN,UNDERWEAR,429770
Last Year,2024,5,MEN,UNDERWEAR,453069
Last Year,2024,6,MEN,UNDERWEAR,444930
Last Year,2024,7,MEN,UNDERWEAR,394008
Last Year,2024,8,MEN,UNDERWEAR,353550
Last Year,2024,8,WOMEN,HOME,1280
Last Year,2024,4,WOMEN,SOCKS,2215
Last Year,2024,5,WOMEN,SOCKS,10531
Last Year,2024,6,WOMEN,SOCKS,12224
Last Year,2024,7,WOMEN,SOCKS,8538
Last Year,2024,8,WOMEN,SOCKS,8147
Last Year,2024,8,WOMEN,SWIMWEAR,27870
Last Year,2024,1,WOMEN,TOPS,19558
Last Year,2024,2,WOMEN,TOPS,20909
Last Year,2024,3,WOMEN,TOPS,29903
Last Year,2024,4,WOMEN,TOPS,17389
Last Year,2024,5,WOMEN,TOPS,24131
Last Year,2024,6,WOMEN,TOPS,20150
Last Year,2024,7,WOMEN,TOPS,28394
Last Year,2024,8,WOMEN,TOPS,26100
Last Year,2024,1,WOMEN,UNDERWEAR,111223
Last Year,2024,2,WOMEN,UNDERWEAR,124484
Last Year,2024,3,WOMEN,UNDERWEAR,80416
Last Year,2024,4,WOMEN,UNDERWEAR,47865
Last Year,2024,5,WOMEN,UNDERWEAR,49449
Last Year,2024,6,WOMEN,UNDERWEAR,42030
Last Year,2024,7,WOMEN,UNDERWEAR,27290
Last Year,2024,8,WOMEN,UNDERWEAR,34832
