Year Type,Calendar Year,ISO Week,Gender,Product Category,Value
Last Year,2024,32,MEN,ACCESSORIES,1400
Last Year,2024,33,MEN,ACCESSORIES,6470
Last Year,2024,34,MEN,ACCESSORIES,0
Last Year,2024,35,MEN,ACCESSORIES,1791
Last Year,2024,36,MEN,ACCESSORIES,1353
Last Year,2024,39,MEN,ACCESSORIES,1773
Last Year,2024,32,MEN,BOTTOMS,31657
Last Year,2024,33,MEN,BOTTOMS,17215
Last Year,2024,34,MEN,BOTTOMS,44410
Last Year,2024,35,MEN,BOTTOMS,9020
Last Year,2024,36,MEN,BOTTOMS,16641
Last Year,2024,37,MEN,BOTTOMS,14412
Last Year,2024,38,MEN,BOTTOMS,4192
Last Year,2024,39,MEN,BOTTOMS,17580
Last Year,2024,32,MEN,SOCKS,61918
Last Year,2024,33,MEN,SOCKS,36225
Last Year,2024,34,MEN,SOCKS,44924
Last Year,2024,35,MEN,SOCKS,55007
Last Year,2024,36,MEN,SOCKS,42260
Last Year,2024,37,MEN,SOCKS,52854
Last Year,2024,38,MEN,SOCKS,49336
Last Year,2024,39,MEN,SOCKS,52291
Last Year,2024,32,MEN,SWIM,327965
Last Year,2024,33,MEN,SWIM,243213
Last Year,2024,34,MEN,SWIM,160616
Last Year,2024,35,MEN,SWIM,68392
Last Year,2024,36,MEN,SWIM,59637
Last Year,2024,37,MEN,SWIM,41672
Last Year,2024,38,MEN,SWIM,48004
Last Year,2024,39,MEN,SWIM,38311
Last Year,2024,32,MEN,TOPS,310031
Last Year,2024,33,MEN,TOPS,261838
Last Year,2024,34,MEN,TOPS,270108
Last Year,2024,35,MEN,TOPS,290741
Last Year,2024,36,MEN,TOPS,226664
Last Year,2024,37,MEN,TOPS,224597
Last Year,2024,38,MEN,TOPS,169121
Last Year,2024,39,MEN,TOPS,209433
Last Year,2024,32,MEN,UNDERWEAR,440315
Last Year,2024,33,MEN,UNDERWEAR,513466
Last Year,2024,34,MEN,UNDERWEAR,643431
Last Year,2024,35,MEN,UNDERWEAR,542188
Last Year,2024,36,MEN,UNDERWEAR,435736
Last Year,2024,37,MEN,UNDERWEAR,526988
Last Year,2024,38,MEN,UNDERWEAR,520891
Last Year,2024,39,MEN,UNDERWEAR,513014
Last Year,2024,32,WOMEN,DRESSES,0
Last Year,2024,33,WOMEN,DRESSES,1548
Last Year,2024,34,WOMEN,DRESSES,1818
Last Year,2024,35,WOMEN,DRESSES,3010
Last Year,2024,36,WOMEN,DRESSES,1430
Last Year,2024,39,WOMEN,DRESSES,1315
Last Year,2024,32,WOMEN,SOCKS,2629
Last Year,2024,33,WOMEN,SOCKS,1187
Last Year,2024,34,WOMEN,SOCKS,1592
Last Year,2024,35,WOMEN,SOCKS,2719
Last Year,2024,36,WOMEN,SOCKS,2827
Last Year,2024,37,WOMEN,SOCKS,412
Last Year,2024,38,WOMEN,SOCKS,374
Last Year,2024,39,WOMEN,SOCKS,523
Last Year,2024,32,WOMEN,SWIM,33207
Last Year,2024,33,WOMEN,SWIM,16049
Last Year,2024,34,WOMEN,SWIM,9455
Last Year,2024,35,WOMEN,SWIM,793
Last Year,2024,36,WOMEN,SWIM,4440
Last Year,2024,37,WOMEN,SWIM,1410
Last Year,2024,38,WOMEN,SWIM,2091
Last Year,2024,39,WOMEN,SWIM,609
Last Year,2024,32,WOMEN,TOPS,14814
Last Year,2024,33,WOMEN,TOPS,16143
Last Year,2024,34,WOMEN,TOPS,11095
Last Year,2024,35,WOMEN,TOPS,3607
Last Year,2024,36,WOMEN,TOPS,14342
Last Year,2024,37,WOMEN,TOPS,11598
Last Year,2024,38,WOMEN,TOPS,14029
Last Year,2024,39,WOMEN,TOPS,16979
Last Year,2024,32,WOMEN,UNDERWEAR,53778
Last Year,2024,33,WOMEN,UNDERWEAR,41246
Last Year,2024,34,WOMEN,UNDERWEAR,27847
Last Year,2024,35,WOMEN,UNDERWEAR,75665
Last Year,2024,36,WOMEN,UNDERWEAR,25270
Last Year,2024,37,WOMEN,UNDERWEAR,22217
Last Year,2024,38,WOMEN,UNDERWEAR,22773
Last Year,2024,39,WOMEN,UNDERWEAR,34205
