Year Type,Calendar Year,ISO Week,Gender,Category,Value
Current Year,2025,8,ACCESSORIES,Swim & Pool,10012
Current Year,2025,5,ACCESSORIES,Swim & Pool,3862
Current Year,2025,2,ACCESSORIES,Swim & Pool,1368
Last Year,2024,8,MEN,-,0
Last Year,2024,7,MEN,-,0
Last Year,2024,6,MEN,-,689
Last Year,2024,5,MEN,-,0
Last Year,2024,4,MEN,-,0
Last Year,2024,3,MEN,-,0
Last Year,2024,2,MEN,-,0
Last Year,2024,1,MEN,-,0
Current Year,2025,8,MEN,-,260694
Current Year,2025,7,MEN,-,225792
Current Year,2025,6,MEN,-,256680
Current Year,2025,5,MEN,-,250764
Current Year,2025,4,MEN,-,172487
Current Year,2025,3,MEN,-,132335
Current Year,2025,2,MEN,-,88471
Current Year,2024,1,MEN,-,130389
Last Year,2024,8,MEN,HOME,21014
Last Year,2024,7,MEN,HOME,65974
Last Year,2024,6,MEN,HOME,39110
Last Year,2024,5,MEN,HOME,18308
Last Year,2024,4,MEN,HOME,25019
Last Year,2024,3,MEN,HOME,79517
Last Year,2024,2,MEN,HOME,243650
Last Year,2024,1,MEN,HOME,267892
Current Year,2025,8,MEN,HOME,13340
Current Year,2025,7,MEN,HOME,24772
Current Year,2025,6,MEN,HOME,16153
Current Year,2025,5,MEN,HOME,26465
Current Year,2025,4,MEN,HOME,25247
Current Year,2025,3,MEN,HOME,154387
Current Year,2025,2,MEN,HOME,215442
Current Year,2024,1,MEN,HOME,179032
Last Year,2024,8,MEN,MOBILITÉ,13640
Last Year,2024,7,MEN,MOBILITÉ,5500
Last Year,2024,6,MEN,MOBILITÉ,7553
Last Year,2024,5,MEN,MOBILITÉ,11965
Last Year,2024,4,MEN,MOBILITÉ,11430
Last Year,2024,3,MEN,MOBILITÉ,112213
Last Year,2024,2,MEN,MOBILITÉ,377714
Last Year,2024,1,MEN,MOBILITÉ,372548
Current Year,2025,8,MEN,MOBILITÉ,23057
Current Year,2025,7,MEN,MOBILITÉ,10261
Current Year,2025,6,MEN,MOBILITÉ,6920
Current Year,2025,5,MEN,MOBILITÉ,19650
Current Year,2025,4,MEN,MOBILITÉ,16555
Current Year,2025,3,MEN,MOBILITÉ,21311
Current Year,2025,2,MEN,MOBILITÉ,17497
Current Year,2024,1,MEN,MOBILITÉ,17015
Last Year,2024,8,MEN,SOCKS,62577
Last Year,2024,7,MEN,SOCKS,77006
Last Year,2024,6,MEN,SOCKS,66165
Last Year,2024,5,MEN,SOCKS,82086
Last Year,2024,4,MEN,SOCKS,65040
Last Year,2024,3,MEN,SOCKS,83936
Last Year,2024,2,MEN,SOCKS,57963
Last Year,2024,1,MEN,SOCKS,70078
Current Year,2025,8,MEN,SOCKS,54818
Current Year,2025,7,MEN,SOCKS,57643
Current Year,2025,6,MEN,SOCKS,54147
Current Year,2025,5,MEN,SOCKS,71625
Current Year,2025,4,MEN,SOCKS,50576
Current Year,2025,3,MEN,SOCKS,92600
Current Year,2025,2,MEN,SOCKS,115441
Current Year,2024,1,MEN,SOCKS,127431
Last Year,2024,8,MEN,Swim & Pool,167603
Last Year,2024,7,MEN,Swim & Pool,57730
Last Year,2024,6,MEN,Swim & Pool,33923
Last Year,2024,5,MEN,Swim & Pool,49088
Last Year,2024,4,MEN,Swim & Pool,43235
Last Year,2024,3,MEN,Swim & Pool,125224
Last Year,2024,2,MEN,Swim & Pool,311900
Last Year,2024,1,MEN,Swim & Pool,297184
Current Year,2025,8,MEN,Swim & Pool,110046
Current Year,2025,7,MEN,Swim & Pool,77215
Current Year,2025,6,MEN,Swim & Pool,93586
Current Year,2025,5,MEN,Swim & Pool,78255
Current Year,2025,4,MEN,Swim & Pool,94086
Current Year,2025,3,MEN,Swim & Pool,201005
Current Year,2025,2,MEN,Swim & Pool,304668
Current Year,2024,1,MEN,Swim & Pool,233488
Last Year,2024,8,MEN,TOPS,182709
Last Year,2024,7,MEN,TOPS,227126
Last Year,2024,6,MEN,TOPS,176939
Last Year,2024,5,MEN,TOPS,180770
Last Year,2024,4,MEN,TOPS,197638
Last Year,2024,3,MEN,TOPS,287616
Last Year,2024,2,MEN,TOPS,252161
Last Year,2024,1,MEN,TOPS,286130
Current Year,2025,8,MEN,TOPS,152174
Current Year,2025,7,MEN,TOPS,155662
Current Year,2025,6,MEN,TOPS,155961
Current Year,2025,5,MEN,TOPS,230580
Current Year,2025,4,MEN,TOPS,195506
Current Year,2025,3,MEN,TOPS,277384
Current Year,2025,2,MEN,TOPS,551552
Current Year,2024,1,MEN,TOPS,608941
Last Year,2024,8,MEN,UNDERWEAR,353550
Last Year,2024,7,MEN,UNDERWEAR,394008
Last Year,2024,6,MEN,UNDERWEAR,444930
Last Year,2024,5,MEN,UNDERWEAR,453069
Last Year,2024,4,MEN,UNDERWEAR,429770
Last Year,2024,3,MEN,UNDERWEAR,749131
Last Year,2024,2,MEN,UNDERWEAR,832666
Last Year,2024,1,MEN,UNDERWEAR,973507
Current Year,2025,8,MEN,UNDERWEAR,305559
Current Year,2025,7,MEN,UNDERWEAR,314181
Current Year,2025,6,MEN,UNDERWEAR,301328
Current Year,2025,5,MEN,UNDERWEAR,275666
Current Year,2025,4,MEN,UNDERWEAR,302904
Current Year,2025,3,MEN,UNDERWEAR,455379
Current Year,2025,2,MEN,UNDERWEAR,463033
Current Year,2024,1,MEN,UNDERWEAR,510206
Last Year,2024,8,WOMEN,HOME,1280
Current Year,2025,7,WOMEN,HOME,2476
Current Year,2025,2,WOMEN,HOME,2003
Current Year,2024,1,WOMEN,HOME,3499
Last Year,2024,8,WOMEN,SOCKS,8147
Last Year,2024,7,WOMEN,SOCKS,8538
Last Year,2024,6,WOMEN,SOCKS,12224
Last Year,2024,5,WOMEN,SOCKS,10531
Last Year,2024,4,WOMEN,SOCKS,2215
Current Year,2025,8,WOMEN,SOCKS,1741
Current Year,2025,7,WOMEN,SOCKS,2927
Current Year,2025,6,WOMEN,SOCKS,2334
Current Year,2025,5,WOMEN,SOCKS,2541
Current Year,2025,4,WOMEN,SOCKS,2597
Current Year,2025,3,WOMEN,SOCKS,9662
Current Year,2025,2,WOMEN,SOCKS,2868
Current Year,2024,1,WOMEN,SOCKS,3655
Last Year,2024,8,WOMEN,Swim & Pool,27870
Current Year,2025,8,WOMEN,Swim & Pool,3992
Current Year,2025,7,WOMEN,Swim & Pool,4758
Current Year,2025,6,WOMEN,Swim & Pool,9182
Current Year,2025,5,WOMEN,Swim & Pool,3828
Current Year,2025,4,WOMEN,Swim & Pool,6650
Current Year,2025,3,WOMEN,Swim & Pool,10901
Current Year,2025,2,WOMEN,Swim & Pool,9945
Current Year,2024,1,WOMEN,Swim & Pool,7101
Last Year,2024,8,WOMEN,TOPS,26100
Last Year,2024,7,WOMEN,TOPS,28394
Last Year,2024,6,WOMEN,TOPS,20150
Last Year,2024,5,WOMEN,TOPS,24131
Last Year,2024,4,WOMEN,TOPS,17389
Last Year,2024,3,WOMEN,TOPS,29903
Last Year,2024,2,WOMEN,TOPS,20909
Last Year,2024,1,WOMEN,TOPS,19558
Current Year,2025,8,WOMEN,TOPS,14478
Current Year,2025,7,WOMEN,TOPS,24820
Current Year,2025,6,WOMEN,TOPS,13097
Current Year,2025,5,WOMEN,TOPS,15542
Current Year,2025,4,WOMEN,TOPS,29399
Current Year,2025,3,WOMEN,TOPS,32577
Current Year,2025,2,WOMEN,TOPS,43024
Current Year,2024,1,WOMEN,TOPS,38267
Last Year,2024,8,WOMEN,UNDERWEAR,34832
Last Year,2024,7,WOMEN,UNDERWEAR,27290
Last Year,2024,6,WOMEN,UNDERWEAR,42030
Last Year,2024,5,WOMEN,UNDERWEAR,49449
Last Year,2024,4,WOMEN,UNDERWEAR,47865
Last Year,2024,3,WOMEN,UNDERWEAR,80416
Last Year,2024,2,WOMEN,UNDERWEAR,124484
Last Year,2024,1,WOMEN,UNDERWEAR,111223
Current Year,2025,8,WOMEN,UNDERWEAR,22446
Current Year,2025,7,WOMEN,UNDERWEAR,25394
Current Year,2025,6,WOMEN,UNDERWEAR,37903
Current Year,2025,5,WOMEN,UNDERWEAR,31104
Current Year,2025,4,WOMEN,UNDERWEAR,37879
Current Year,2025,3,WOMEN,UNDERWEAR,52661
Current Year,2025,2,WOMEN,UNDERWEAR,62479
Current Year,2024,1,WOMEN,UNDERWEAR,69396
