ISO Week,Gender,Product Category,Gross Revenue,Total Revenue,Share (%)
39,Men,Tops,326893.88,1170132.2,28.0
39,Men,Underwear,642859.65,1170132.2,55.0
39,Men,Socks,50057.13,1170132.2,4.0
39,Men,Swim,20614.21,1170132.2,2.0
39,Men,Bottoms,40032.85,1170132.2,3.0
39,Men,Home,2695.55,1170132.2,0.0
39,Men,Resort,3919.24,1170132.2,0.0
39,Men,Accessories,12458.74,1170132.2,1.0
39,Men,Total,1099803.7,1170132.2,94.0
38,Men,Bottoms,31148.9,798173.06,4.0
38,Men,Tops,246999.03,798173.06,31.0
38,Men,Underwear,380228.23,798173.06,48.0
38,Men,Socks,48505.7,798173.06,6.0
38,Men,Accessories,2979.41,798173.06,0.0
38,Men,Home,7896.05,798173.06,1.0
38,Men,Resort,7955.06,798173.06,1.0
38,Men,Swim,22028.09,798173.06,3.0
38,Men,Total,749982.32,798173.06,94.0
37,Men,Tops,248580.26,823424.94,30.0
37,Men,Underwear,428891.14,823424.94,52.0
37,Men,Socks,48045.53,823424.94,6.0
37,Men,Home,9203.22,823424.94,1.0
37,Men,Swim,36126.58,823424.94,4.0
37,Men,Accessories,1868.66,823424.94,0.0
37,Men,Bottoms,1990.13,823424.94,0.0
37,Men,Resort,0.0,823424.94,0.0
37,Men,Total,776257.67,823424.94,94.0
36,Men,Tops,306082.67,982233.68,31.0
36,Men,Underwear,476750.76,982233.68,49.0
36,Men,Socks,67355.88,982233.68,7.0
36,Men,Swim,38437.2,982233.68,4.0
36,Men,Home,6389.88,982233.68,1.0
36,Men,Bottoms,7127.96,982233.68,1.0
36,Men,Resort,4030.75,982233.68,0.0
36,Men,Accessories,1280.0,982233.68,0.0
36,Men,Total,917978.49,982233.68,93.0
35,Men,Underwear,488786.9,956730.61,51.0
35,Men,Socks,39660.18,956730.61,4.0
35,Men,Tops,308120.65,956730.61,32.0
35,Men,Home,5119.86,956730.61,1.0
35,Men,Swim,62216.83,956730.61,7.0
35,Men,Bottoms,542.04,956730.61,0.0
35,Men,Resort,0.0,956730.61,0.0
35,Men,Accessories,981.16,956730.61,0.0
35,Men,Total,914182.98,956730.61,96.0
34,Men,Tops,225872.44,940086.92,24.0
34,Men,Swim,86496.24,940086.92,9.0
34,Men,Underwear,518168.21,940086.92,55.0
34,Men,Socks,53060.04,940086.92,6.0
34,Men,Bottoms,8913.24,940086.92,1.0
34,Men,Home,0.0,940086.92,0.0
34,Men,Resort,0.0,940086.92,0.0
34,Men,Accessories,1095.05,940086.92,0.0
34,Men,Total,915006.02,940086.92,97.0
33,Men,Underwear,627042.05,1293787.2,48.0
33,Men,Swim,202527.51,1293787.2,16.0
33,Men,Socks,65041.53,1293787.2,5.0
33,Men,Tops,292148.7,1293787.2,23.0
33,Men,Bottoms,47842.4,1293787.2,4.0
33,Men,Accessories,5698.9,1293787.2,0.0
33,Men,Home,0.0,1293787.2,0.0
33,Men,Resort,2191.3,1293787.2,0.0
33,Men,Total,1251654.37,1293787.2,97.0
32,Men,Underwear,578054.88,1352689.47,43.0
32,Men,Tops,350018.22,1352689.47,26.0
32,Men,Swim,245458.73,1352689.47,18.0
32,Men,Bottoms,56344.94,1352689.47,4.0
32,Men,Socks,40509.28,1352689.47,3.0
32,Men,Resort,8799.74,1352689.47,1.0
32,Men,Home,0.0,1352689.47,0.0
32,Men,Accessories,4708.54,1352689.47,0.0
32,Men,Total,1296440.94,1352689.47,96.0
39,Women,Tops,23329.86,1170132.2,2.0
39,Women,Underwear,39110.25,1170132.2,3.0
39,Women,Dresses,16.62,1170132.2,0.0
39,Women,Socks,4612.46,1170132.2,0.0
39,Women,Swim,3259.31,1170132.2,0.0
39,Women,Total,70328.5,1170132.2,6.0
38,Women,Tops,10103.29,798173.06,1.0
38,Women,Underwear,36644.33,798173.06,5.0
38,Women,Dresses,0.0,798173.06,0.0
