ISO Week,Gender,Gross Revenue (ex. VAT)
6,MEN,614890.27
6,WOMEN,62517.53
5,MEN,687120.42
5,WOMEN,53015.54
4,MEN,665343.72
4,WOMEN,76525.68
3,MEN,1148639.24
3,WOMEN,105801.95
2,MEN,1593015.62
2,WOMEN,120319.21
1,MEN,1596677.3
1,WOMEN,121918.06
52,MEN,1235375.24
52,WOMEN,45008.82
51,MEN,1090485.74
51,WOMEN,85817.93
6,MEN,738101.25
6,WOMEN,74404.19
5,MEN,767530.6
5,WOMEN,84110.69
4,MEN,746367.4
4,WOMEN,67468.97
3,MEN,1388928.36
3,WOMEN,110318.96
2,MEN,2048477.57
2,WOMEN,145392.86
1,MEN,2237504.01
1,WOMEN,130780.37
52,MEN,1682625.53
52,WOMEN,75808.57
51,MEN,858115.47
51,WOMEN,57867.18
