Year Type,Calendar Year,ISO Week,Metric,Value
Current Year,2025,39,Gross Revenue - WOMEN,70328
Current Year,2025,39,Gross Revenue - MEN,1099804
Current Year,2025,38,Gross Revenue - WOMEN,48191
Current Year,2025,38,Gross Revenue - MEN,749982
Current Year,2025,37,Gross Revenue - WOMEN,47167
Current Year,2025,37,Gross Revenue - MEN,776258
Current Year,2025,36,Gross Revenue - WOMEN,64255
Current Year,2025,36,Gross Revenue - MEN,917978
Current Year,2025,35,Gross Revenue - WOMEN,42548
Current Year,2025,35,Gross Revenue - MEN,914183
Current Year,2025,34,Gross Revenue - WOMEN,25081
Current Year,2025,34,Gross Revenue - MEN,914726
Current Year,2025,33,Gross Revenue - WOMEN,42133
Current Year,2025,33,Gross Revenue - MEN,1251654
Current Year,2025,32,Gross Revenue - WOMEN,56249
Current Year,2025,32,Gross Revenue - MEN,1296441
Last Year,2024,39,Gross Revenue - MEN,835351
Last Year,2024,33,Gross Revenue - WOMEN,76173
Last Year,2024,33,Gross Revenue - MEN,1096904
Last Year,2024,34,Gross Revenue - WOMEN,51808
Last Year,2024,34,Gross Revenue - MEN,1167165
Last Year,2024,35,Gross Revenue - WOMEN,85794
Last Year,2024,35,Gross Revenue - MEN,979382
Last Year,2024,36,Gross Revenue - WOMEN,48309
Last Year,2024,36,Gross Revenue - MEN,794586
Last Year,2024,37,Gross Revenue - WOMEN,35637
Last Year,2024,37,Gross Revenue - MEN,872819
Last Year,2024,38,Gross Revenue - WOMEN,39267
Last Year,2024,38,Gross Revenue - MEN,795630
Last Year,2024,39,Gross Revenue - WOMEN,53632
Last Year,2024,32,Gross Revenue - MEN,1219714
Last Year,2024,32,Gross Revenue - WOMEN,104428
