ISO Week,Year,Category,Gross Revenue (ex. VAT)
6,Current Year,UNDERWEAR,301328.23
6,Current Year,TOPS,155960.65
6,Current Year,MOBILITÉ,6920.0
6,Current Year,SWIMWEAR,80201.77
6,Current Year,SOCKS,40942.53
6,Current Year,POOLWEAR,13383.82
6,Current Year,HOME,16153.27
6,Current Year,ACCESSORIES,0.0
6,Current Year,T-SHIRT,0.0
5,Current Year,UNDERWEAR,275666.32
5,Current Year,TOPS,230580.26
5,Current Year,MOBILITÉ,19649.8
5,Current Year,SWIMWEAR,66513.76
5,Current Year,SOCKS,56503.33
5,Current Year,POOLWEAR,11741.55
5,Current Year,HOME,26465.41
5,Current Year,ACCESSORIES,0.0
5,Current Year,T-SHIRT,0.0
4,Current Year,UNDERWEAR,302904.37
4,Current Year,TOPS,195506.48
4,Current Year,MOBILITÉ,16554.72
4,Current Year,SWIMWEAR,89159.61
4,Current Year,SOCKS,31045.32
4,Current Year,POOLWEAR,4926.58
4,Current Year,HOME,25246.65
4,Current Year,ACCESSORIES,0.0
4,Current Year,T-SHIRT,0.0
3,Current Year,UNDERWEAR,455378.9
3,Current Year,TOPS,277384.06
3,Current Year,MOBILITÉ,21310.53
3,Current Year,SWIMWEAR,160564.59
3,Current Year,SOCKS,39174.06
3,Current Year,POOLWEAR,40440.04
3,Current Year,HOME,154387.07
3,Current Year,ACCESSORIES,0.0
3,Current Year,T-SHIRT,0.0
2,Current Year,UNDERWEAR,463032.57
2,Current Year,TOPS,551551.75
2,Current Year,MOBILITÉ,17497.14
2,Current Year,SWIMWEAR,232222.95
2,Current Year,SOCKS,40824.3
2,Current Year,POOLWEAR,72445.12
2,Current Year,HOME,215441.78
2,Current Year,ACCESSORIES,0.0
2,Current Year,T-SHIRT,0.0
1,Current Year,UNDERWEAR,510206.21
1,Current Year,TOPS,608941.19
1,Current Year,MOBILITÉ,17015.19
1,Current Year,SWIMWEAR,168549.37
1,Current Year,SOCKS,47994.78
1,Current Year,POOLWEAR,64938.71
1,Current Year,HOME,179031.85
1,Current Year,ACCESSORIES,0.0
1,Current Year,T-SHIRT,0.0
52,Current Year,UNDERWEAR,543718.1
52,Current Year,TOPS,385335.24
52,Current Year,MOBILITÉ,7724.87
52,Current Year,SWIMWEAR,110918.08
52,Current Year,SOCKS,29584.57
52,Current Year,POOLWEAR,11088.68
52,Current Year,HOME,147005.69
52,Current Year,ACCESSORIES,0.0
52,Current Year,T-SHIRT,0.0
51,Current Year,UNDERWEAR,570298.62
51,Current Year,TOPS,323289.25
51,Current Year,MOBILITÉ,16932.96
51,Current Year,SWIMWEAR,67140.87
51,Current Year,SOCKS,40174.92
51,Current Year,POOLWEAR,3505.63
51,Current Year,HOME,69143.48
51,Current Year,ACCESSORIES,0.0
51,Current Year,T-SHIRT,0.0
6,Last Year,UNDERWEAR,444929.73
6,Last Year,TOPS,176938.9
6,Last Year,MOBILITÉ,7552.72
6,Last Year,SWIMWEAR,21573.79
6,Last Year,SOCKS,35647.08
6,Last Year,POOLWEAR,12349.02
6,Last Year,HOME,39110.02
6,Last Year,ACCESSORIES,0.0
6,Last Year,T-SHIRT,0.0
5,Last Year,UNDERWEAR,453068.96
5,Last Year,TOPS,180769.82
5,Last Year,MOBILITÉ,11965.17
5,Last Year,SWIMWEAR,49088.31
5,Last Year,SOCKS,54330.48
5,Last Year,POOLWEAR,0.0
5,Last Year,HOME,18307.86
5,Last Year,ACCESSORIES,0.0
5,Last Year,T-SHIRT,0.0
4,Last Year,UNDERWEAR,429770.11
4,Last Year,TOPS,197637.65
4,Last Year,MOBILITÉ,11429.8
4,Last Year,SWIMWEAR,40515.73
4,Last Year,SOCKS,39275.25
4,Last Year,POOLWEAR,2719.47
4,Last Year,HOME,25019.4
4,Last Year,ACCESSORIES,0.0
4,Last Year,T-SHIRT,0.0
3,Last Year,UNDERWEAR,749130.82
3,Last Year,TOPS,287616.12
3,Last Year,MOBILITÉ,112212.91
3,Last Year,SWIMWEAR,108097.18
3,Last Year,SOCKS,35227.93
3,Last Year,POOLWEAR,17126.77
3,Last Year,HOME,79516.63
3,Last Year,ACCESSORIES,0.0
3,Last Year,T-SHIRT,0.0
2,Last Year,UNDERWEAR,832665.89
2,Last Year,TOPS,252161.27
2,Last Year,MOBILITÉ,377714.04
2,Last Year,SWIMWEAR,217676.11
2,Last Year,SOCKS,30385.96
2,Last Year,POOLWEAR,94223.9
2,Last Year,HOME,243650.39
2,Last Year,ACCESSORIES,0.0
2,Last Year,T-SHIRT,0.0
1,Last Year,UNDERWEAR,973506.88
1,Last Year,TOPS,286130.29
1,Last Year,MOBILITÉ,372547.56
1,Last Year,SWIMWEAR,201195.53
1,Last Year,SOCKS,40243.4
1,Last Year,POOLWEAR,95988.79
1,Last Year,HOME,267891.55
1,Last Year,ACCESSORIES,0.0
1,Last Year,T-SHIRT,0.0
52,Last Year,UNDERWEAR,943347.33
52,Last Year,TOPS,238727.83
52,Last Year,MOBILITÉ,190285.46
52,Last Year,SWIMWEAR,131311.22
52,Last Year,SOCKS,30459.65
52,Last Year,POOLWEAR,50940.45
52,Last Year,HOME,97553.58
52,Last Year,ACCESSORIES,0.0
52,Last Year,T-SHIRT,0.0
51,Last Year,UNDERWEAR,474589.65
51,Last Year,TOPS,144537.8
51,Last Year,MOBILITÉ,68001.21
51,Last Year,SWIMWEAR,78660.15
51,Last Year,SOCKS,23418.53
51,Last Year,POOLWEAR,17384.98
51,Last Year,HOME,51523.13
51,Last Year,ACCESSORIES,0.0
51,Last Year,T-SHIRT,0.0
