,current_week,last_week,last_year,year_2023
Online Gross Revenue before Discount,-,-,-,-
Discounts,-,-,-,-
Discount rate %,-,-,-,-
Online Gross Revenue,1170132.1978734,798173.0637113,889441.5501416998,1010087.7745005
Returns,47999.2348163,74674.1509644,49475.8148358,97945.8609806
Return rate %,4.1,9.4,5.6,9.7
Online Net Revenue,1122132.9630571,723498.9127469,839965.7353058999,912141.9135199
Retail Concept Store,78488.0,54323.2,96462.0,88063.98999999999
"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0
"Retail Archive Sale, Stockholm",-,-,-,-
"Retail Archive Sale, Göteborg",-,-,-,-
"Retail Outlet, Barkarby",-,-,-,-
"Retail Pop-up, Mykonos",-,-,-,-
"Retail Pop-up, Miami",-,-,-,-
Retail Net Revenue,78488.0,54323.2,96462.0,88063.98999999999
Wholesale Net Revenue,0.0,0.0,19461.51,0.0
Total Net Revenue,1200620.9630571,777822.1127469,955889.2453058999,1000205.9035198999
Returning Customers,473,297,309,361
New Customers,203,148,186,276
Marketing Spend,0.0,0.0,197170.48,293777.8109218
Online Cost of Sale (CoS),0.0,0.0,22.168,29.084
Online nCAC (SEK)(4),0.0,0.0,742.0394408602151,745.0886508886231
