Year,ISO Week,Sessions,Conversion Rate (%),New Customers,Returning Customers,AOV New Customers (ex. VAT),AOV Returning Customers (ex. VAT),Online Media Spend,nCAC,COS%
Last Year,1,49666,3.67,697,1077,1247.0,1420.0,638398.0,641.0,26.62
Current Year,1,53264,2.25,394,792,1422.0,1728.0,162420.0,289.0,8.42
Last Year,2,59728,2.61,576,927,1320.0,1576.0,488857.0,594.0,22.01
Current Year,2,69277,1.83,500,749,1250.0,1673.0,221643.0,310.0,11.8
Last Year,3,58969,1.57,346,567,1516.0,1805.0,378213.0,765.0,24.43
Current Year,3,49408,2.0,381,593,1246.0,1628.0,151728.0,279.0,10.54
Last Year,4,37234,1.31,167,306,1605.0,1868.0,196574.0,824.0,23.41
Current Year,4,42480,1.25,213,316,1503.0,1942.0,95414.0,314.0,10.22
Last Year,5,34819,1.45,207,288,1583.0,1915.0,182369.0,617.0,20.74
Current Year,5,41829,1.3,188,350,1700.0,1972.0,83804.0,312.0,8.3
Last Year,6,37532,1.3,207,277,1578.0,1866.0,176685.0,597.0,20.94
Current Year,6,41370,1.37,239,319,1482.0,1859.0,124933.0,366.0,13.19
Last Year,7,40639,1.06,169,255,1916.0,2227.0,187244.0,776.0,21.0
Current Year,7,38966,1.4,242,301,1526.0,1849.0,98177.0,284.0,10.6
Last Year,8,67809,0.7,159,312,1758.0,1987.0,250280.0,1102.0,27.83
Current Year,8,37860,1.45,197,344,1625.0,1896.0,62776.0,223.0,6.46
