Year Type,Calendar Year,ISO Week,Metric,Value
Current Year,2025,39,COS%,0.0
Current Year,2025,39,nCAC,0.0
Current Year,2025,39,Online Media Spend,0.0
Current Year,2025,39,AOV Returning Customers (ex. VAT),1757.55
Current Year,2025,39,Sessions,24867.0
Current Year,2025,39,Returning Customers,473.0
Current Year,2025,39,New Customers,203.0
Current Year,2025,39,Conversion Rate (%),2.7466119757107816
Current Year,2025,39,AOV New Customers (ex. VAT),1669.01
Current Year,2025,38,Conversion Rate (%),1.783166904422254
Current Year,2025,38,New Customers,148.0
Current Year,2025,38,Returning Customers,297.0
Current Year,2025,38,AOV New Customers (ex. VAT),1565.13
Current Year,2025,38,AOV Returning Customers (ex. VAT),1907.52
Current Year,2025,38,Online Media Spend,0.0
Current Year,2025,38,nCAC,0.0
Current Year,2025,38,COS%,0.0
Current Year,2025,38,Sessions,25236.0
Current Year,2025,37,COS%,0.0
Current Year,2025,37,nCAC,0.0
Current Year,2025,37,Online Media Spend,0.0
Current Year,2025,37,Returning Customers,299.0
Current Year,2025,37,AOV New Customers (ex. VAT),1483.39
Current Year,2025,37,New Customers,172.0
Current Year,2025,37,Sessions,19141.0
Current Year,2025,37,AOV Returning Customers (ex. VAT),1900.61
Current Year,2025,37,Conversion Rate (%),2.5442766835588526
Current Year,2025,36,nCAC,0.0
Current Year,2025,36,Sessions,23950.0
Current Year,2025,36,Conversion Rate (%),2.605427974947808
Current Year,2025,36,New Customers,241.0
Current Year,2025,36,Returning Customers,371.0
Current Year,2025,36,AOV New Customers (ex. VAT),1352.26
Current Year,2025,36,AOV Returning Customers (ex. VAT),1769.11
Current Year,2025,36,Online Media Spend,0.0
Current Year,2025,36,COS%,0.0
Current Year,2025,35,Conversion Rate (%),2.4955595026642983
Current Year,2025,35,Sessions,22520.0
Current Year,2025,35,COS%,0.0
Current Year,2025,35,nCAC,0.0
Current Year,2025,35,Returning Customers,323.0
Current Year,2025,35,AOV Returning Customers (ex. VAT),1993.41
Current Year,2025,35,AOV New Customers (ex. VAT),1402.96
