Year;ISO Week;Sessions;Conversion Rate (%);New Customers;Returning Customers;AOV New Customers (ex. VAT);AOV Returning Customers (ex. VAT);Online Media Spend;nCAC;COS%
Last Year;1;49,7;3,7;697,0;1077,0;1247,0;1420,0;638,0;641,0;27,0
Current Year;1;53,3;2,2;394,0;792,0;1422,0;1728,0;162,0;289,0;8,0
Last Year;2;59,7;2,6;576,0;927,0;1320,0;1576,0;489,0;594,0;22,0
Current Year;2;69,3;1,8;500,0;749,0;1250,0;1673,0;222,0;310,0;12,0
Last Year;3;59,0;1,6;346,0;567,0;1516,0;1805,0;378,0;765,0;24,0
Current Year;3;49,4;2,0;381,0;593,0;1246,0;1628,0;152,0;279,0;11,0
Last Year;4;37,2;1,3;167,0;306,0;1605,0;1868,0;197,0;824,0;23,0
Current Year;4;42,5;1,3;213,0;316,0;1503,0;1942,0;95,0;314,0;10,0
Last Year;5;34,8;1,4;207,0;288,0;1583,0;1915,0;182,0;617,0;21,0
Current Year;5;41,8;1,3;188,0;350,0;1700,0;1972,0;84,0;312,0;8,0
Last Year;6;37,5;1,3;207,0;277,0;1578,0;1866,0;177,0;597,0;21,0
Current Year;6;41,4;1,4;239,0;319,0;1482,0;1859,0;125,0;366,0;13,0
Last Year;7;40,6;1,1;169,0;255,0;1916,0;2227,0;187,0;776,0;21,0
Current Year;7;39,0;1,4;242,0;301,0;1526,0;1849,0;98,0;284,0;11,0
Last Year;8;67,8;0,7;159,0;312,0;1758,0;1987,0;250,0;1102,0;28,0
Current Year;8;37,9;1,5;197,0;344,0;1625,0;1896,0;63,0;223,0;6,0
