Date,Gender,Category,Product,Color,Gross Revenue,Sales Qty
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1176.679,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,910.27545,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS CLASSIC,BLACK+WHITE+SKY BLUE,2256.11624,1
2025-04-28,MEN,SOCKS,WOOL RIB SOCKS,BLACK,293.36496,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,998.13555,1
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS,BLACK,1145.11761,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,937.93413,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,822.4656299999999,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,822.4656299999999,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,831.7031099999999,1
2025-04-28,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,WHITE,1460.29163,1
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS BOX-CUT,BLACK,1086.17369,1
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,WHITE,2090.30976,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,NAVY,1045.15488,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,WHITE,1045.15488,1
2025-04-28,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,3019.2014875,2
2025-04-28,MEN,SOCKS,3 X WOOL RIB SOCKS,BLACK,2540.219433333333,4
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,979.4913916666666,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,886.7238195348837,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,882.6186166666668,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,392.8729208333333,1
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK,2206.546541666667,1
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK+STEEL BLUE+WHITE,2206.546541666667,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2109.673766666667,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1765.237233333334,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,1587.637145833334,2
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,BLACK,1097.89145,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,NAVY BLUE,1097.89145,1
2025-04-28,MEN,SOCKS,6 X COTTON RIB SOCKS,BLACK,1054.836883333333,1
2025-04-28,MEN,POOLWEAR,POOL SHIRT,OLIVE COMMODE,1011.782316666667,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,888.0004374999999,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,882.6186166666668,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,861.0913333333333,1
2025-04-28,MEN,HOME,PYJAMA SHIRT SHORT-SLEEVE,SKY BLUE,764.2185583333332,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,726.5458124999999,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,1352.631,1
2025-04-28,MEN,UNDERWEAR,Y-BRIEFS,OLIVE GREEN,549.85,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,WHITE,1352.631,1
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,BLACK,2254.385,3
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1957.466,1
2025-04-28,MEN,TOPS,RIB TANK TOP,OFF BLACK,1099.7,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,989.73,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,680.0,1
2025-04-28,MEN,SOCKS,COTTON RIB SOCKS,DARK NAVY,368.0,3
2025-04-28,MEN,UNDERWEAR,BOXER SHORTS,BLACK,345.8630136986301,1
2025-04-28,MEN,UNDERWEAR,BOXER TRUNKS,BLACK,285.3369863013698,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,TOPS,2 X RIB TANK TOP,WHITE,1296.0,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,BLACK,880.0,1
2025-04-28,MEN,SOCKS,6 X COTTON RIB SOCKS,BLACK,760.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK+STEEL BLUE+WHITE,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,STEEL BLUE,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,680.0,1
2025-04-28,MEN,SOCKS,10 X BAMBOO SOCKS,WHITE,2255.94328,1
2025-04-28,MEN,SWIMWEAR,SWIM TRUNKS DRY NYLON POPLIN,DARK OLIVE,2130.0752,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1839.6104,1
2025-04-28,MEN,UNDERWEAR,WOOL BOXER BRIEF,BLACK,1597.5564,3
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,BLACK,1045.67328,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,948.85168,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,919.8052,1
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,SKY BLUE,822.9836,1
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,WHITE,822.9836,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,NAVY BLUE,522.83664,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,STEEL BLUE,513.1544799999999,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,459.9026,1
2025-04-28,MEN,UNDERWEAR,Y-BRIEFS,WHITE,377.9766307692307,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS PARACHUTE NYLON,CINNAMON,3969.6856,2
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,3533.9884,4
2025-04-28,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2226.8968,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,WHITE,1984.8428,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,BLACK,1984.8428,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1984.8428,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,1897.70336,2
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,1897.70336,2
2025-04-28,MEN,TOPS,W-WOOL T-SHIRT,BLACK,1752.47096,1
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS BOX-CUT,OPTIC WHITE,1307.0916,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,BLACK,1307.0916,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,WHITE,1161.8592,1
2025-04-28,MEN,TOPS,RIB TANK TOP,WHITE,1045.67328,1
2025-04-28,MEN,SOCKS,3 X LOW CUT BAMBOO SOCKS,WHITE,968.216,2
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,948.85168,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,944.0106,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,919.8052,1
2025-04-28,MEN,SOCKS,3 X LOW CUT BAMBOO SOCKS,BLACK,484.108,1
2025-04-28,MEN,SOCKS,3 X LOW CUT BAMBOO SOCKS,WHITE,484.108,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,BLACK,1031.506229508197,1
2025-04-29,MEN,UNDERWEAR,JOCK STRAP,BLACK,503.1737704918033,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,STEEL BLUE,1024.94708,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,679.42476,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,679.42476,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,1143.82072,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,OLIVE GREEN,1143.82072,1
2025-04-29,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,606.9252800000002,1
2025-04-29,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,WHITE,2917.91,1
2025-04-29,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,2777.33232,1
2025-04-29,MEN,HOME,HOME SHORTS,BLACK,898.55514,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,884.3045399999999,1
2025-04-29,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,1658.11212,2
2025-04-29,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1475.70444,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,737.85222,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,1479.87,2
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,OLIVE GREEN,739.935,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,OLIVE GREEN,674.163,1
2025-04-29,MEN,UNDERWEAR,JOCK STRAP,BLACK,328.86,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER SHORTS,WHITE,959.175,1
2025-04-29,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,WHITE,840.34692,1
2025-04-29,MEN,SOCKS,3 X LOW CUT BAMBOO SOCKS,BLACK,411.075,1
2025-04-29,MEN,UNDERWEAR,Y-BRIEFS,STEEL BLUE,321.9952460869566,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,978.2128416666668,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,956.7136583333332,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,BLACK+STEEL BLUE+WHITE,935.214475,1
2025-04-29,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,440.7332583333334,1
2025-04-29,MEN,UNDERWEAR,Y-BRIEFS,OLIVE GREEN,386.9853,1
2025-04-29,MEN,UNDERWEAR,6 X BOXER TRUNKS,BLACK,1762.933033333333,1
2025-04-29,MEN,SWIMWEAR,SWIM BRIEFS,BLACK,1171.705491666667,1
2025-04-29,MEN,TOPS,RIB TANK TOP,WHITE,1064.209575,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1427.69088,2
2025-04-29,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,1630.70712,1
2025-04-29,MEN,UNDERWEAR,BOXER SHORTS,BLACK,425.7640800000001,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,NAVY,868.95774,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,WHITE,868.95774,1
2025-04-29,MEN,TOPS,T-SHIRT HEAVYWEIGHT,GRAPE SODA,445.6053,1
2025-04-29,MEN,TOPS,T-SHIRT HEAVYWEIGHT,NAVY BLUE,445.6053,1
2025-04-29,MEN,POOLWEAR,POOL SHIRT,OFF WHITE,780.0,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,BLACK,598.0,1
2025-04-29,MEN,SOCKS,COTTON RIB SOCKS,WHITE,446.8,3
2025-04-29,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,1512.0,1
2025-04-29,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,DARK OLIVE,1400.0,1
2025-04-29,MEN,MOBILITÉ,3 X PERFORMANCE BOXER BRIEFS,BLACK,1104.0,2
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,680.0,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,659.2,1
2025-04-29,MEN,MOBILITÉ,3 X PERFORMANCE BOXER BRIEFS,BLACK,552.0,1
2025-04-29,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,3662.6756,2
2025-04-29,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1975.9171,1
2025-04-29,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1831.3378,1
2025-04-29,MEN,UNDERWEAR,WOOL BOXER BRIEF,BLACK,1590.3723,3
2025-04-29,MEN,POOLWEAR,POOL SHORTS,OLIVE COMMODE,1108.4413,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,BLACK,1084.34475,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER SHORTS,OLIVE GREEN,997.59717,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER TRUNKS,STEEL BLUE,915.6689,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER TRUNKS,WHITE,915.6689,1
2025-04-29,MEN,UNDERWEAR,2 X JOCK STRAP,WHITE+BLACK,867.4757999999998,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,850.126284,1
2025-04-29,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,510.84686,1
2025-04-29,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK+STEEL BLUE+WHITE,2409.655,1
2025-04-29,MEN,SWIMWEAR,SWIM TRUNKS DRY NYLON POPLIN,WHITE,2120.4964,1
2025-04-29,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1975.9171,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,1831.3378,2
2025-04-29,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1831.3378,1
2025-04-29,MEN,UNDERWEAR,6 X Y-BRIEFS,BLACK,1715.67436,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER SHORTS,OLIVE GREEN,1108.4413,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1060.2482,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,915.6689,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,915.6689,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER TRUNKS,BLACK+STEEL BLUE+WHITE,915.6689,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,795.18615,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,STEEL BLUE,795.18615,1
2025-04-29,MEN,UNDERWEAR,JOCK STRAP,BLACK,404.82204,1
2025-04-30,MEN,MOBILITÉ,3 X PERFORMANCE Y-BRIEFS,BLACK,1203.919038,1
2025-04-30,MEN,UNDERWEAR,BOXER BRIEFS,OLIVE GREEN,456.17004,1
2025-04-30,MEN,UNDERWEAR,JOCK STRAP,WHITE,360.62091,1
2025-04-30,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,3482.9199,1
2025-04-30,MEN,HOME,SHORT-SLEEVE HOME SHIRT,BLACK,1255.6404,1
2025-04-30,MEN,HOME,PYJAMA SHIRT SHORT-SLEEVE,WHITE,753.3842400000001,1
2025-04-30,MEN,TOPS,RIB TANK TOP,WHITE,1339.34976,1
2025-04-30,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,1493.550295,1
2025-04-30,MEN,UNDERWEAR,3 X BOXER BRIEFS,STEEL BLUE,791.1669437155964,1
2025-04-30,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,746.830005,1
2025-04-30,MEN,UNDERWEAR,3 X Y-BRIEFS,OLIVE GREEN,864.3747,1
2025-04-30,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1869.8253,1
2025-04-30,MEN,SOCKS,5 X BAMBOO SOCKS,NAVY BLUE,1052.5053,1
2025-04-30,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,WHITE,1632.12034,1
2025-04-30,MEN,TOPS,WOOL T-SHIRT,BLACK,1450.761445,1
2025-04-30,MEN,TOPS,MIDWEIGHT T-SHIRT,STEEL BLUE,816.06017,1
2025-04-30,MEN,TOPS,T-SHIRT HEAVYWEIGHT,BLACK,874.2091200000001,1
2025-04-30,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,877.72,1
2025-04-30,MEN,SWIMWEAR,SWIM BRIEFS,OPTIC WHITE,1127.032375,1
2025-04-30,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,976.7613916666664,1
2025-04-30,MEN,UNDERWEAR,2 X JOCK STRAP,BLACK,674.0380720161289,1
2025-04-30,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2103.793766666666,1
2025-04-30,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,WHITE,1824.719083333333,1
2025-04-30,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1824.719083333333,1
2025-04-30,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,976.7613916666664,1
2025-04-30,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK+STEEL BLUE+WHITE,880.1586166666666,1
