Date,Gender,Category,Product,Color,Gross Revenue,Sales Qty
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1176.679,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,3368.6384,4
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,1659.607488,2
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,937.93413,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,822.4656299999999,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,822.4656299999999,1
2025-04-28,-,-,-,-,822.4656299999999,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,WHITE,1460.29163,1
2025-04-28,ACCESSORIES,SWIMWEAR,BEACH TOWEL,NAVY/BLUE MIST,1297.97591,1
2025-04-28,-,-,-,-,722.06302,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS BOX-CUT,BLACK,1086.17369,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,3019.2014875,2
2025-04-28,MEN,SOCKS,3 X WOOL RIB SOCKS,BLACK,2540.219433333333,4
2025-04-28,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,1054.836883333333,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,979.4913916666666,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,886.7238195348837,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,882.6186166666668,1
2025-04-28,-,-,-,-,850.3276916666666,1
2025-04-28,-,-,-,-,406.8656549999999,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,392.8729208333333,1
2025-04-28,-,-,-,-,392.8729208333333,1
2025-04-28,-,-,-,-,43.25482046511627,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,2727.256,4
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,Y-BRIEFS,OLIVE GREEN,549.85,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,WHITE,1352.631,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,BLACK,2254.385,3
2025-04-28,-,-,-,-,2089.43,2
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1957.466,1
2025-04-28,MEN,TOPS,RIB TANK TOP,OFF BLACK,1099.7,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,989.73,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,1440.0,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,680.0,1
2025-04-28,MEN,SOCKS,COTTON RIB SOCKS,DARK NAVY,368.0,3
2025-04-28,-,-,-,-,368.0,3
2025-04-28,MEN,UNDERWEAR,BOXER SHORTS,BLACK,345.8630136986301,1
2025-04-28,MEN,UNDERWEAR,BOXER TRUNKS,BLACK,285.3369863013698,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,SOCKS,10 X BAMBOO SOCKS,WHITE,2255.94328,1
2025-04-28,MEN,SWIMWEAR,SWIM TRUNKS DRY NYLON POPLIN,DARK OLIVE,2130.0752,1
2025-04-28,-,-,-,-,2130.0752,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1839.6104,1
2025-04-28,MEN,UNDERWEAR,WOOL BOXER BRIEF,BLACK,1597.5564,3
2025-04-28,-,-,-,-,1307.0916,1
2025-04-28,-,-,-,-,1065.0376,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,BLACK,1045.67328,1
2025-04-28,-,-,-,-,1025.936569230769,1
2025-04-28,-,-,-,-,973.05708,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,948.85168,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,919.8052,1
2025-04-28,-,-,-,-,919.8052,1
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,SKY BLUE,822.9836,1
2025-04-28,MEN,UNDERWEAR,WOVEN BOXER SHORTS CLASSIC,WHITE,822.9836,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,NAVY BLUE,522.83664,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,STEEL BLUE,513.1544799999999,1
2025-04-28,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,459.9026,1
2025-04-28,-,-,-,-,435.6972,1
2025-04-28,MEN,UNDERWEAR,Y-BRIEFS,WHITE,377.9766307692307,1
2025-04-28,UNISEX,SOCKS,COTTON SOCKS,OLIVE GREEN,266.2594,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,STEEL BLUE,1024.94708,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,2144.22516,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,1143.82072,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,OLIVE GREEN,1143.82072,1
2025-04-29,-,-,-,-,1143.82072,1
2025-04-29,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,606.9252800000002,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,2777.33232,1
2025-04-29,MEN,HOME,HOME SHORTS,BLACK,898.55514,1
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,884.3045399999999,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,928.1932980999998,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,2836.4175,2
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,1479.87,2
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,OLIVE GREEN,739.935,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,OLIVE GREEN,674.163,1
2025-04-29,MEN,UNDERWEAR,JOCK STRAP,BLACK,328.86,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,978.2128416666668,1
2025-04-29,-,-,-,-,978.2128416666668,1
2025-04-29,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,956.7136583333332,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,BLACK+STEEL BLUE+WHITE,935.214475,1
2025-04-29,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,440.7332583333334,1
2025-04-29,-,-,-,-,440.7332583333334,1
2025-04-29,MEN,UNDERWEAR,Y-BRIEFS,OLIVE GREEN,386.9853,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,-,-,-,-,0.0,0
2025-04-29,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1427.69088,2
2025-04-29,-,-,-,-,0.0,0
2025-04-29,MEN,TOPS,2 X HEAVY WEIGHT T-SHIRT,BLACK/WHITE,1630.70712,1
2025-04-29,MEN,UNDERWEAR,BOXER SHORTS,BLACK,425.7640800000001,1
2025-04-29,-,-,-,-,0.0,0
2025-04-29,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,BLACK,1944.0,3
2025-04-29,-,-,-,-,840.0,1
2025-04-29,MEN,POOLWEAR,POOL SHIRT,OFF WHITE,780.0,1
2025-04-29,WOMEN,UNDERWEAR,3 X THONG,BLACK,647.2,1
2025-04-29,MEN,UNDERWEAR,3 X Y-BRIEFS,BLACK,598.0,1
