Date,Gender,Category,Product,Color,Gross Revenue,Sales Qty
2025-02-24,-,-,-,-,3005.079912,3
2025-02-24,-,-,-,-,1845.93888,2
2025-02-24,-,-,-,-,0.0,0
2025-02-24,MEN,SWIMWEAR,SWIM BRIEFS,BLACK,1075.687453478261,1
2025-02-24,-,-,-,-,48.86953652173913,1
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,1313.528712,2
2025-02-24,-,-,-,-,0.0,0
2025-02-24,MEN,UNDERWEAR,3 X BOXER TRUNKS,BLACK+STEEL BLUE+WHITE,1220.13697,1
2025-02-24,-,-,-,-,0.0,0
2025-02-24,WOMEN,TOPS,2 X WOMEN'S T-SHIRT MIDWEIGHT,WHITE+BLACK,1546.47498,1
2025-02-24,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,BLACK,1077.82592,1
2025-02-24,-,-,-,-,0.0,0
2025-02-24,MEN,UNDERWEAR,12 X BOXER BRIEFS,BLACK,2977.07029,1
2025-02-24,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1564.176035,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER TRUNKS,WHITE,629.4854775,1
2025-02-24,WOMEN,SWIMWEAR,BIKINI BRIEFS,PANNA COTTA,344.2533770000001,1
2025-02-24,WOMEN,TOPS,W-LW T-SHIRT,PANNA COTTA,317.772348,1
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,MEN,SOCKS,5 X BAMBOO SOCKS,BLACK,997.41279,1
2025-02-24,MEN,SOCKS,3 X LOW CUT BAMBOO SOCKS,WHITE,408.0882700000001,1
2025-02-24,-,-,-,-,0.0,0
2025-02-24,ACCESSORIES,SWIMWEAR,BEACH TOWEL,NAVY/BLUE MIST,9800.0,7
2025-02-24,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,BLACK,880.0,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,840.0,1
2025-02-24,MEN,POOLWEAR,POOL SHIRT,OLIVE COMMODE,780.0,1
2025-02-24,MEN,POOLWEAR,POOL SHORTS,OLIVE COMMODE,680.0,1
2025-02-24,-,-,-,-,612.0,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,578.0,1
2025-02-24,-,-,-,-,480.0,2
2025-02-24,MEN,SWIMWEAR,SWIM SHORTS PARACHUTE NYLON,CINNAMON,467.2,1
2025-02-24,MEN,UNDERWEAR,BOXER BRIEFS,BLACK,237.6,1
2025-02-24,ACCESSORIES,SWIMWEAR,BEACH TOWEL,NAVY/BLUE MIST,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,-,-,-,-,0.0,0
2025-02-24,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK,2664.1025,1
2025-02-24,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,2664.1025,3
2025-02-24,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2450.9743,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,2450.9743,2
2025-02-24,-,-,-,-,2024.7179,2
2025-02-24,-,-,-,-,2024.7179,2
2025-02-24,-,-,-,-,1947.4589275,2
2025-02-24,-,-,-,-,1721.010215,2
2025-02-24,MEN,SWIMWEAR,SWIM TRUNKS PANAMA WEAVE,MIDNIGHT BLUE,1332.05125,1
2025-02-24,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,1320.8620195,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER SHORTS,WHITE,1225.48715,1
2025-02-24,-,-,-,-,1225.48715,1
2025-02-24,MEN,SOCKS,6 X COTTON RIB SOCKS,BLACK,1172.2051,1
2025-02-24,-,-,-,-,1172.2051,1
2025-02-24,MEN,TOPS,T-SHIRT HEAVYWEIGHT,BLACK,1150.89228,1
2025-02-24,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,1150.89228,1
2025-02-24,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,1150.89228,1
2025-02-24,MEN,POOLWEAR,POOL SHIRT,OLIVE COMMODE,1097.61023,1
2025-02-24,WOMEN,UNDERWEAR,3 X THONG,BLACK,1065.641,1
2025-02-24,WOMEN,UNDERWEAR,3 X THONG,WHITE,1065.641,1
2025-02-24,WOMEN,UNDERWEAR,SCOOP BRALETTE,BLACK,1065.641,1
2025-02-24,WOMEN,UNDERWEAR,SCOOP BRALETTE,WHITE,1065.641,1
2025-02-24,-,-,-,-,1065.641,1
2025-02-24,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,1044.32818,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,1012.35895,1
2025-02-24,-,-,-,-,1012.35895,1
2025-02-24,-,-,-,-,937.76408,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER TRUNKS,BLACK,911.123055,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER TRUNKS,STEEL BLUE,911.123055,1
2025-02-24,MEN,SWIMWEAR,SWIM BRIEFS BOX-CUT,JUNIPER,884.4820299999999,1
2025-02-24,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,860.5051074999999,1
2025-02-24,MEN,SWIMWEAR,SWIM SHORTS PARACHUTE NYLON,CINNAMON,741.9307093442623,1
2025-02-24,MEN,SWIMWEAR,SWIM BRIEFS,JUNIPER,717.9974606557377,1
2025-02-24,WOMEN,TOPS,W-LW LS T-SHIRT,PANNA COTTA,709.9049602941176,2
2025-02-24,MEN,SWIMWEAR,SWIM TRUNKS DRY NYLON POPLIN,SKY BLUE,703.32306,1
2025-02-24,MEN,SWIMWEAR,SWIM SHORTS PARACHUTE NYLON,GREY MARBLE,660.69742,1
2025-02-24,WOMEN,TOPS,W-LW T-SHIRT,PANNA COTTA,638.9144642647059,2
2025-02-24,MEN,TOPS,T-SHIRT HEAVYWEIGHT,GRAPE SODA,575.44614,1
2025-02-24,MEN,TOPS,T-SHIRT HEAVYWEIGHT,NAVY BLUE,575.44614,1
2025-02-24,MEN,UNDERWEAR,BOXER SHORTS,WHITE,566.2020253012048,1
