Date,Gender,Category,Product,Color,Gross Revenue,Sales Qty
2025-04-28,-,-,-,-,1984.8428,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,1826.74325,2
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,910.27545,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS CLASSIC,BLACK+WHITE+SKY BLUE,2256.11624,1
2025-04-28,MEN,SOCKS,WOOL RIB SOCKS,BLACK,293.36496,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,998.13555,1
2025-04-28,-,-,-,-,998.13555,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS,BLACK,1145.11761,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,3835.09378,2
2025-04-28,-,-,-,-,1663.40622,2
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,831.7031099999999,1
2025-04-28,UNISEX,SOCKS,COTTON SOCKS,DARK NAVY,369.60917,2
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,WHITE,2090.30976,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,NAVY,1045.15488,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,WHITE,1045.15488,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,3928.729208333333,4
2025-04-28,-,-,-,-,2583.274,3
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK,2206.546541666667,1
2025-04-28,MEN,TOPS,3 X MIDWEIGHT T-SHIRT,BLACK+STEEL BLUE+WHITE,2206.546541666667,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2109.673766666667,1
2025-04-28,-,-,-,-,1829.819083333334,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1765.237233333334,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,1587.637145833334,2
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,BLACK,1097.89145,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,NAVY BLUE,1097.89145,1
2025-04-28,MEN,SOCKS,6 X COTTON RIB SOCKS,BLACK,1054.836883333333,1
2025-04-28,MEN,POOLWEAR,POOL SHIRT,OLIVE COMMODE,1011.782316666667,1
2025-04-28,-,-,-,-,979.4913916666666,1
2025-04-28,MEN,TOPS,T-SHIRT HEAVYWEIGHT,WHITE,888.0004374999999,1
2025-04-28,-,-,-,-,888.0004374999999,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,882.6186166666668,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,861.0913333333333,1
2025-04-28,MEN,HOME,PYJAMA SHIRT SHORT-SLEEVE,SKY BLUE,764.2185583333332,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,BLACK,726.5458124999999,1
2025-04-28,-,-,-,-,441.3093083333333,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,WOMEN,TOPS,LIGHTWEIGHT SHORT SLEEVE DRESS,BLACK,1454.13331,1
2025-04-28,-,-,-,-,1454.13331,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,3 X BOXER SHORTS,BLACK,1352.631,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,UNDERWEAR,6 X BOXER BRIEFS,BLACK,1360.0,1
2025-04-28,MEN,TOPS,2 X RIB TANK TOP,WHITE,1296.0,1
2025-04-28,-,-,-,-,1056.0,4
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT LONG SLEEVE,BLACK,880.0,1
2025-04-28,MEN,SOCKS,6 X COTTON RIB SOCKS,BLACK,760.0,1
2025-04-28,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,760.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,BLACK+STEEL BLUE+WHITE,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,OLIVE GREEN,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,STEEL BLUE,680.0,1
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,680.0,1
2025-04-28,-,-,-,-,640.0,1
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,-,-,-,-,0.0,0
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS PARACHUTE NYLON,CINNAMON,3969.6856,2
2025-04-28,MEN,UNDERWEAR,3 X BOXER BRIEFS,WHITE,3533.9884,4
2025-04-28,MEN,UNDERWEAR,6 X BOXER SHORTS,BLACK,2226.8968,1
2025-04-28,-,-,-,-,2091.34656,2
2025-04-28,-,-,-,-,1989.68388,2
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS DRY NYLON POPLIN,WHITE,1984.8428,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,BLACK,1984.8428,1
2025-04-28,MEN,SWIMWEAR,SWIM SHORTS SATIN TWILL,JUNIPER,1984.8428,1
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,NAVY,1897.70336,2
2025-04-28,MEN,TOPS,MIDWEIGHT T-SHIRT,WHITE,1897.70336,2
2025-04-28,-,-,-,-,1839.6104,2
2025-04-28,MEN,TOPS,W-WOOL T-SHIRT,BLACK,1752.47096,1
2025-04-28,-,-,-,-,1448.451136,2
2025-04-28,MEN,SWIMWEAR,SWIM BRIEFS BOX-CUT,OPTIC WHITE,1307.0916,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,BLACK,1307.0916,1
2025-04-28,-,-,-,-,1307.0916,1
2025-04-28,-,-,-,-,1190.90568,1
2025-04-28,MEN,SOCKS,5 X BAMBOO SOCKS,WHITE,1161.8592,1
2025-04-28,-,-,-,-,1065.0376,1
2025-04-28,UNISEX,SOCKS,6 X COTTON SOCKS,BLACK,1065.0376,1
2025-04-28,UNISEX,SOCKS,6 X COTTON SOCKS,WHITE,1065.0376,1
2025-04-28,MEN,TOPS,RIB TANK TOP,WHITE,1045.67328,1
