Date,Gender,Category,Product,Color,Gross Revenue,Sales Qty
2025-04-28,WOMEN,TOPS,LIGHTWEIGHT SHORT SLEEVE DRESS,BLACK,1454.13331,1
2025-04-29,WOMEN,SWIMWEAR,BIKINI BRIEFS,BLACK,867.86154,1
2025-04-29,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,BLACK,1944.0,3
2025-04-29,WOMEN,UNDERWEAR,3 X THONG,BLACK,647.2,1
2025-04-29,WOMEN,UNDERWEAR,STRING THONG,WHITE,311.97852,1
2025-04-30,WOMEN,TOPS,WOMEN'S T-SHIRT HEAVYWEIGHT,WHITE,1813.479235,2
2025-04-30,WOMEN,TOPS,2 X WOMEN'S RIB TANK TOP,WHITE,1496.07374,1
2025-04-30,WOMEN,TOPS,2 X WOMEN'S T-SHIRT MIDWEIGHT,WHITE+BLACK,1496.07374,1
2025-04-30,WOMEN,UNDERWEAR,Y-BRIEFS,BLACK,691.2045,1
2025-04-30,WOMEN,TOPS,2 X WOMEN'S T-SHIRT MIDWEIGHT,WHITE+BLACK,1346.532195,1
2025-04-30,WOMEN,TOPS,LIGHTWEIGHT SHORT SLEEVE DRESS,BLACK,0.0,1
2025-04-30,WOMEN,TOPS,2 X WOMEN'S T-SHIRT MIDWEIGHT,WHITE+BLACK,1389.16368,1
2025-04-30,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,WHITE,955.05003,1
2025-05-01,WOMEN,TOPS,W-RIB T-SHIRT,OFF BLACK,816.06017,1
2025-05-01,WOMEN,TOPS,W-RIB T-SHIRT,WHITE,816.06017,1
2025-05-01,WOMEN,UNDERWEAR,STRING THONG,BLACK,348.8433541666666,1
2025-05-01,WOMEN,UNDERWEAR,STRING THONG,WHITE,348.8433541666666,1
2025-05-01,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,BLACK,1029.42064,1
2025-05-01,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,WHITE,1029.42064,1
2025-05-01,WOMEN,UNDERWEAR,WOOL HIPSTER,BLACK,0.0,0
2025-05-02,WOMEN,SWIMWEAR,RACER SWIMSUIT,POPPY RED,0.0,0
2025-05-02,WOMEN,TOPS,WOMEN'S RIB TANK TOP,WHITE,817.13985,1
2025-05-02,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,BLACK,2079.0,2
2025-05-02,WOMEN,UNDERWEAR,3 X W-BOXER BRIEFS,WHITE,2079.0,2
2025-05-02,WOMEN,UNDERWEAR,Y-BRIEFS,OLIVE GREEN,361.59375,1
2025-05-02,WOMEN,UNDERWEAR,Y-BRIEFS,WHITE,361.59375,1
2025-05-02,WOMEN,SWIMWEAR,TRIANGLE BIKINI BRALETTE,BLACK,1040.0,1
2025-05-02,WOMEN,SWIMWEAR,BIKINI BRIEFS,BLACK,760.0,1
2025-05-02,WOMEN,TOPS,2 X WOMEN'S RIB TANK TOP,WHITE,1687.43925,1
2025-05-02,WOMEN,UNDERWEAR,3 X STRING THONG,BLACK,964.251,1
2025-05-02,WOMEN,UNDERWEAR,3 X STRING THONG,WHITE,964.251,1
2025-05-02,WOMEN,UNDERWEAR,SCOOP BRALETTE,BLACK,0.0,0
2025-05-03,WOMEN,TOPS,W-LW T-SHIRT,BLACK,800.296875,1
2025-05-03,WOMEN,UNDERWEAR,3 X STRING THONG,BLACK,510.0,1
2025-05-03,WOMEN,TOPS,WOMEN'S T-SHIRT HEAVYWEIGHT,WHITE,1186.02873,1
2025-05-04,WOMEN,TOPS,WOMEN'S RIB TANK TOP,WHITE,949.15625,1
2025-05-04,WOMEN,UNDERWEAR,TRIANGLE BRALETTE,BLACK,1000.2775876,1
2025-05-04,WOMEN,UNDERWEAR,SCOOP BRALETTE,BLACK,993.2271858,1
2025-05-04,WOMEN,TOPS,2 X WOMEN'S RIB TANK TOP,OFF BLACK,1188.0,1
2025-05-04,WOMEN,TOPS,W-LW T-SHIRT,BLACK,648.0,1
2025-05-04,WOMEN,UNDERWEAR,W-BOXER BRIEF,BLACK,252.0,1
2025-05-04,WOMEN,UNDERWEAR,Y-BRIEFS,BLACK,252.0,1
2025-05-04,WOMEN,UNDERWEAR,3 X THONG,BLACK,1108.88865,1
