Market,Metric,Vecka 32 (2025),Vecka 33 (2025),Vecka 34 (2025),Vecka 35 (2025),Vecka 36 (2025),Vecka 37 (2025),Vecka 38 (2025),Vecka 39 (2025)
United States,Online Gross Revenue,514192.113663,449388.9129806,399142.68704600004,328282.03670000006,354497.78636370006,281288.34486,250635.00432500002,379678.1005458
United States,Online Net Revenue,498217.464203,382325.4383519,387724.49822600005,255973.15837700007,297818.65108970006,258589.985475,232127.029635,369478.5608208
United States,Returns,15974.64946,67063.4746287,11418.18882,72308.878323,56679.135274,22698.359385000003,18507.974690000003,10199.539725
United States,Return Rate %,3.1,14.9,2.9,22.0,16.0,8.1,7.4,2.7
United States,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Wholesale Net Revenue,0.0,0.0,79696.12316000002,0.0,0.0,0.0,0.0,0.0
United States,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,New Customers,121.0,97.0,92.0,77.0,75.0,55.0,46.0,58.0
United States,Returning Customers,146.0,164.0,121.0,100.0,117.0,93.0,84.0,127.0
United States,Marketing Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,Online Cost of Sale (CoS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,Online Gross Revenue,204280.9005485,164244.97488310002,148363.86510589998,174267.745634,134335.80112669998,142510.59009840002,141304.1508692,191888.85729379999
United Kingdom,Online Net Revenue,188911.13732,135791.09055280001,132798.51499509998,149151.6986076,105905.28142789999,134613.42801970002,118501.9020898,182496.83838749997
United Kingdom,Returns,15369.7632285,28453.884330300003,15565.3501108,25116.0470264,28430.5196988,7897.1620787,22802.2487794,9392.0189063
United Kingdom,Return Rate %,7.5,17.3,10.5,14.4,21.2,5.5,16.1,4.9
United Kingdom,Retail Concept Store,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,"Retail Pop-ups, Outlets",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,Retail Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,Wholesale Net Revenue,0.0,7654.045,0.0,0.0,50775.722,0.0,0.0,0.0
United Kingdom,Total Net Revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,New Customers,62.0,54.0,48.0,50.0,50.0,43.0,32.0,42.0
