ISO Week,Year,Category,Gross Revenue (ex. VAT)
6,Current Year,UNDERWEAR,37903.27
6,Current Year,TOPS,13097.34
6,Current Year,SOCKS,2334.49
6,Current Year,HOME,0.0
6,Current Year,Swim & Pool,9182.43
5,Current Year,UNDERWEAR,31104.14
5,Current Year,TOPS,15541.8
5,Current Year,SOCKS,2541.29
5,Current Year,HOME,0.0
5,Current Year,Swim & Pool,3828.32
4,Current Year,UNDERWEAR,37879.26
4,Current Year,TOPS,29399.12
4,Current Year,SOCKS,2597.5
4,Current Year,HOME,0.0
4,Current Year,Swim & Pool,6649.8
3,Current Year,UNDERWEAR,52661.09
3,Current Year,TOPS,32577.27
3,Current Year,SOCKS,9662.1
3,Current Year,HOME,0.0
3,Current Year,Swim & Pool,10901.49
2,Current Year,UNDERWEAR,62478.63
2,Current Year,TOPS,43024.38
2,Current Year,SOCKS,2868.23
2,Current Year,HOME,2002.94
2,Current Year,Swim & Pool,9945.03
1,Current Year,UNDERWEAR,69396.15
1,Current Year,TOPS,38267.48
1,Current Year,SOCKS,3654.54
1,Current Year,HOME,3498.56
1,Current Year,Swim & Pool,7101.33
52,Current Year,UNDERWEAR,36142.01
52,Current Year,TOPS,7009.62
52,Current Year,SOCKS,1857.19
52,Current Year,HOME,0.0
52,Current Year,Swim & Pool,0.0
51,Current Year,UNDERWEAR,63991.39
51,Current Year,TOPS,15550.88
51,Current Year,SOCKS,4135.92
51,Current Year,HOME,1040.0
51,Current Year,Swim & Pool,1099.75
6,Last Year,UNDERWEAR,42030.26
6,Last Year,TOPS,20149.54
6,Last Year,SOCKS,12224.39
6,Last Year,HOME,0.0
6,Last Year,Swim & Pool,0.0
5,Last Year,UNDERWEAR,49448.85
5,Last Year,TOPS,24130.73
5,Last Year,SOCKS,10531.11
5,Last Year,HOME,0.0
5,Last Year,Swim & Pool,0.0
4,Last Year,UNDERWEAR,47864.6
4,Last Year,TOPS,17389.21
4,Last Year,SOCKS,2215.15
4,Last Year,HOME,0.0
4,Last Year,Swim & Pool,0.0
3,Last Year,UNDERWEAR,80416.28
3,Last Year,TOPS,29902.68
3,Last Year,SOCKS,0.0
3,Last Year,HOME,0.0
3,Last Year,Swim & Pool,0.0
2,Last Year,UNDERWEAR,124484.24
2,Last Year,TOPS,20908.62
2,Last Year,SOCKS,0.0
2,Last Year,HOME,0.0
2,Last Year,Swim & Pool,0.0
1,Last Year,UNDERWEAR,111222.6
1,Last Year,TOPS,19557.77
1,Last Year,SOCKS,0.0
1,Last Year,HOME,0.0
1,Last Year,Swim & Pool,0.0
52,Last Year,UNDERWEAR,62328.5
52,Last Year,TOPS,13480.07
52,Last Year,SOCKS,0.0
52,Last Year,HOME,0.0
52,Last Year,Swim & Pool,0.0
51,Last Year,UNDERWEAR,47741.11
51,Last Year,TOPS,10126.07
51,Last Year,SOCKS,0.0
51,Last Year,HOME,0.0
51,Last Year,Swim & Pool,0.0
