Year Type,Calendar Year,ISO Week,Gender,Product Category,Value
Last Year,2024,39,WOMEN,ACCESSORIES,1773
Last Year,2024,36,WOMEN,ACCESSORIES,1353
Last Year,2024,35,WOMEN,ACCESSORIES,1791
Last Year,2024,34,WOMEN,ACCESSORIES,0
Last Year,2024,33,WOMEN,ACCESSORIES,6470
Last Year,2024,32,WOMEN,ACCESSORIES,1400
Current Year,2025,39,WOMEN,ACCESSORIES,12459
Current Year,2025,38,WOMEN,ACCESSORIES,2979
Current Year,2025,37,WOMEN,ACCESSORIES,1869
Current Year,2025,36,WOMEN,ACCESSORIES,1280
Current Year,2025,35,WOMEN,ACCESSORIES,981
Current Year,2025,34,WOMEN,ACCESSORIES,1095
Current Year,2025,33,WOMEN,ACCESSORIES,5699
Current Year,2025,32,WOMEN,ACCESSORIES,4709
Last Year,2024,39,WOMEN,DRESSES,1315
Last Year,2024,36,WOMEN,DRESSES,1430
Last Year,2024,35,WOMEN,DRESSES,3010
Last Year,2024,34,WOMEN,DRESSES,1818
Last Year,2024,33,WOMEN,DRESSES,1548
Last Year,2024,32,WOMEN,DRESSES,0
Current Year,2025,39,WOMEN,DRESSES,17
Current Year,2025,38,WOMEN,DRESSES,0
Current Year,2025,37,WOMEN,DRESSES,1472
Current Year,2025,36,WOMEN,DRESSES,0
Current Year,2025,35,WOMEN,DRESSES,0
Current Year,2025,34,WOMEN,DRESSES,0
Current Year,2025,33,WOMEN,DRESSES,1198
Current Year,2025,32,WOMEN,DRESSES,1029
Last Year,2024,39,WOMEN,SOCKS,14099
Last Year,2024,38,WOMEN,SOCKS,18838
Last Year,2024,37,WOMEN,SOCKS,20725
Last Year,2024,36,WOMEN,SOCKS,22770
Last Year,2024,35,WOMEN,SOCKS,16657
Last Year,2024,34,WOMEN,SOCKS,16171
Last Year,2024,33,WOMEN,SOCKS,12094
Last Year,2024,32,WOMEN,SOCKS,18398
Current Year,2025,39,WOMEN,SOCKS,22696
Current Year,2025,38,WOMEN,SOCKS,21590
Current Year,2025,37,WOMEN,SOCKS,20810
Current Year,2025,36,WOMEN,SOCKS,22723
Current Year,2025,35,WOMEN,SOCKS,12922
Current Year,2025,34,WOMEN,SOCKS,21132
Current Year,2025,33,WOMEN,SOCKS,29496
Current Year,2025,32,WOMEN,SOCKS,14758
Last Year,2024,39,WOMEN,SWIM,609
Last Year,2024,38,WOMEN,SWIM,2091
Last Year,2024,37,WOMEN,SWIM,1410
Last Year,2024,36,WOMEN,SWIM,4440
Last Year,2024,35,WOMEN,SWIM,793
Last Year,2024,34,WOMEN,SWIM,9455
Last Year,2024,33,WOMEN,SWIM,16049
Last Year,2024,32,WOMEN,SWIM,33207
Current Year,2025,39,WOMEN,SWIM,3259
Current Year,2025,38,WOMEN,SWIM,0
Current Year,2025,37,WOMEN,SWIM,2155
Current Year,2025,36,WOMEN,SWIM,2771
Current Year,2025,35,WOMEN,SWIM,2105
Current Year,2025,34,WOMEN,SWIM,0
Current Year,2025,33,WOMEN,SWIM,5849
Current Year,2025,32,WOMEN,SWIM,3483
Last Year,2024,39,WOMEN,TOPS,16979
Last Year,2024,38,WOMEN,TOPS,14029
Last Year,2024,37,WOMEN,TOPS,11598
Last Year,2024,36,WOMEN,TOPS,14342
Last Year,2024,35,WOMEN,TOPS,3607
Last Year,2024,34,WOMEN,TOPS,11095
Last Year,2024,33,WOMEN,TOPS,16143
Last Year,2024,32,WOMEN,TOPS,14814
Current Year,2025,39,WOMEN,TOPS,23330
Current Year,2025,38,WOMEN,TOPS,10103
Current Year,2025,37,WOMEN,TOPS,14294
Current Year,2025,36,WOMEN,TOPS,19543
Current Year,2025,35,WOMEN,TOPS,17435
Current Year,2025,34,WOMEN,TOPS,4248
Current Year,2025,33,WOMEN,TOPS,17796
Current Year,2025,32,WOMEN,TOPS,13488
Last Year,2024,39,WOMEN,UNDERWEAR,34205
Last Year,2024,38,WOMEN,UNDERWEAR,22773
Last Year,2024,37,WOMEN,UNDERWEAR,22217
Last Year,2024,36,WOMEN,UNDERWEAR,25270
Last Year,2024,35,WOMEN,UNDERWEAR,75665
Last Year,2024,34,WOMEN,UNDERWEAR,27847
Last Year,2024,33,WOMEN,UNDERWEAR,41246
Last Year,2024,32,WOMEN,UNDERWEAR,53778
Current Year,2025,39,WOMEN,UNDERWEAR,39110
Current Year,2025,38,WOMEN,UNDERWEAR,36644
Current Year,2025,37,WOMEN,UNDERWEAR,23706
Current Year,2025,36,WOMEN,UNDERWEAR,40578
Current Year,2025,35,WOMEN,UNDERWEAR,21603
Current Year,2025,34,WOMEN,UNDERWEAR,16894
Current Year,2025,33,WOMEN,UNDERWEAR,16704
Current Year,2025,32,WOMEN,UNDERWEAR,32789
