,ytd_current_month,ytd_last_year,ytd_two_years,Budget(1)
Online Gross Revenue,34215850.2453909,33534201.722181402,41077689.0312879,-
Online Net Revenue,31489949.4644435,30272789.216960803,35752471.1132691,-
Returns,2725900.7809474,3261412.5052206,5325217.9180188,-
Return rate %,8.0,9.7,13.0,-
Retail Concept Store,-,-,-,-
"Retail Pop-ups, Outlets",-,-,-,-
Retail Net Revenue,2639993.4099999997,3004184.1799999997,3522853.98,-
Wholesale Net Revenue,4536428.018881001,2530073.6474199994,58920.565468,-
Total Net Revenue,-,-,-,-
New Customers,7273.0,7667.0,9902.0,-
Returning Customers,8799.0,8361.0,9026.0,-
Marketing Spend,541563.5,6393725.96,8484500.3684463,-
Online Cost of Sale (CoS),1.583,19.066,20.655,-
